id	제목	제안분류	확신도	구간정밀도	근거	비고
P00001	白苧辭	회방(meet)	17	17%	term	악부/제영(확신↓)
P00002	三淸洞口占	유람(travel)	58	38%	title	
P00003	送尹子昇之郡海西	송별(farewell)	97	94%	title, term	
P00004	奉恩寺僧軸	불교(buddhism)	96	94%	title	
P00005	奉恩寺僧軸 其二	불교(buddhism)	87	94%	title, term	
P00006	乙卯亂後 少時作	변새(frontier)	58	38%	term	
P00007	登南岳	강해(water)	36	14%	term	
P00008	送別金士晦	송별(farewell)	97	94%	title, term	
P00009	廣灘送別李善吉赴京	송별(farewell)	97	94%	title, term	
P00010	高峯山齋	산악(mountain)	54	38%	title	
P00011	詠畫	도화(picture)	69	52%	title	
P00012	龍川館	애상(sympathy)	25	16%	term	
P00013	次張甫寄季涵韻	애상(sympathy)	24	16%	term	차운(제목 donate 무시)
P00014	楚調	송별(farewell)	25	16%	term	
P00015	冬日書懷	회고(reminiscence)	68	52%	title	
P00016	簡交河倅求蟹	기증(donate)	70	82%	title	
P00017	古墓	애상(sympathy)	85	94%	title	
P00018	贈天齡上人	기증(donate)	97	94%	title	
P00019	重別愼評事	송별(farewell)	87	94%	title	
P00020	田家	건물(structure)	78	82%	title	
P00021	白雲洞	유람(travel)	56	38%	title, term	
P00022	寄安四耐	기증(donate)	97	94%	title	
P00023	晩望	산악(mountain)	36	14%	term	
P00024	題聽松堂	건물(structure)	53	38%	title	
P00025	僧軸	불교(buddhism)	96	94%	title	
P00026	武夷洞	유람(travel)	51	38%	title	
P00027	武夷洞 其二	애상(sympathy)	45	27%	term	
P00028	武夷洞 其三	유람(travel)	56	38%	title	
P00029	武夷洞 其四	애상(sympathy)	50	38%	term	
P00030	武夷洞 其五	유람(travel)	58	38%	title	
P00031	重陽	산악(mountain)	17	17%	term	
P00032	感興	애상(sympathy)	23	16%	term	
P00033	寄僧	기증(donate)	66	52%	title	
P00034	大隱巖	한적(tranquility)	48	27%	term	
P00035	題張東海書	도화(picture)	81	94%	title	
