<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>銅雀津</title>,<text>八月淸江上。輕風起白蘋。長年撑小艇。落日送行人。峽靜波聲大。天晴秋氣新。終南愁外遠。回首一傷神。</text>
<title>到桐泉</title>,<text>草砌寒蛩咽。松簷細雨垂。主人留好客。村酒勸深巵。園栗經霜軟。家鷄啄黍肥。聯床深夜話。稍似洛陽時。</text>
<title>芳蕙道中。效雅體。</title>,<text>午店鷄聲起。吾行到虎川。細雨輕𩿨外。孤雲匹馬前。寥天長送鴈。虛樾忽聞蟬。點點螺鬟色。回瞻舞鳳巓。</text>
<title>李將軍墓</title>,<text>風雨玄虬歲。滄波赤雀船。將軍生左海。吾屬免伊川。勳業旗常在。天時甲子還。荒原松栢路。慷慨撫龍泉。</text>
<title>茅山拜蔡希庵 彭胤 丈</title>,<text>一輟東壇凾丈席。先生空谷養幽貞。偶同孺子尋橋至。深荷中郞倒屣迎。風雪不辭門外立。月朝欣聽汝南評。最憐人事滄桑換。話到重泉涕自傾。</text>
<title>客懷</title>,<text>鶴髮平安未。音書一不來。晨昏須病婦。嬉笑任癡孩。曉月聞鷄枕。淸秋望子臺。密縫渾欲弊。久客幾時迴。</text>
<title>瑞山郡</title>,<text>相旺峯西村落稀。瑞寧樓上角聲悲。小虛近海饒魚藿。敗堞依山長菟絲。樹老孤雲仙後洞。苔殘迦葉寺前碑。遺民尙識寒泉路。枳棘留傳棲鳳枝。</text>
<title>客中</title>,<text>湖中遠客洛中家。湖洛迢迢路幾何。好事差池鷄黍約。歸期晼晩鶴翎花。重陽物色來風雨。獨夜羇懷遣嘯歌。最是此行愁絶處。旅鴻飛急斷雲賖。</text>
<title>挽申順興 必淸 二十四韻</title>,<text>赫赫名門彦。聲華夙世高。八龍荀氏慶。一鶚漢廷豪。鴈㙮雙朱圈。龍門兩繡袍。文章華國手。才器拔硎刀。賦授梁園簡。歌成漢殿桃。霜蹄方出廐。秋隼始辭絛。世路翻碁乍。天閽設鑰牢。巴人難和雪。楚俗任哺糟。未把春城句。親承聖主褒。人皆推俊士。天不佑吾曹。馮署浮沉久。楊衙撫字勞。金風先隕桂。爐火却煎膏。岱嶽遊驂遠。魁墟瑞彩鞱。雷符腰未解。袁箑手猶操。遐筭歸蕭杌。崇班限戭檮。親朋同涕泗。老我益悽忉。少小欣相邇。追扳定幾遭。牙絃音共賞。陳榻跡甞叨。落月方疑面。靈飆遽化尻。山河收爽氣。簪組失英髦。舊蹟龍頭帖。遺榮鳳穴毛。悲凉薤露曲。凄咽竹溪濤。故宅風烟散。窮泉歲月滔。餘生空白首。題挽涕沾毫。</text>
<title>挽金員外四十韻</title>,<text>玄始元精日日離。邇來吾道屬艱危。重陰屛塞雷猶蟄。大化鞭驅物不支。稍喜寒叢留碩果。卽看喬木挺新枝。吳中才傑機雲幷。川外聲華穎雪奇。一代價高人物論。兩湖名動雪霜姿。荊圍取士由經術。桂籍通仙際盛時。秘閣芸香寧地分。儒宮藜肚亦天慈。功名久矣薪逾積。心事終然玉自持。薄宦棲遲慵記馬。長途馳騁奈拋騏。尙看雲海三千迥。叵耐桑溟頃刻移。風雨一番驚世變。柴荊高卧保幽期。殿中趨走前生事。林下優閒晩道宜。時宰猶憐淪落久。英遊共惜起來遲。容臺錦裹仍荷製。蘭省華簪換釣絲。宦道增傷供奉曲。孝心偏惹太行思。上林高樹寒鴉倦。南國名都五馬馳。錦袖堪誇桑梓里。菜庭因奏棣華詞。板輿左右雙華葢。舞席前頭萬壽巵。甲子世間容易換。悲歡夢裏迭相隨。長繩未繫崦嵫日。素鞸偏傷欒棘詩。攀樹深哀風不止。倚廬遺制月纔朞。重泉有路從天只。雙璧傳家勉學而。陶苫無人仙鶴斷。姜衾濺血夜鴻悲。誰言仁者膺遐筭。未信天公佑孝兒。凡我親朋同有慽。故人稚子倍交頤。遺塵滿目渾千古。往事傷心更一嘻。頗記吾翁難友道。得如夫子許心知。湖亭雨話頻添蠟。洛社春遊互策羸。床下更敎陪丱角。座中爭喜挹蘭芝。離魂往往詩山路。華訊翩翩漢水涯。及與賢郞遊翰墨。又從阿季和塤箎。中間人事經灰劫。十載逢塲但涕洏。仍憶溪堂參下史。正當天陛發南麾。酒釃甁釀蘓詩肺。鮮减厨供潤菜脾。迺者音容頗間濶。忽然㐫聞轉驚疑。楸溪嗚咽波添淚。花洞陰森月送輀。大抵情親均戚屬。那堪痛哭爲吾私。濡綿禮缺徐生奠。相紼哀纏楚客辭。陳篋梳頭看在否。夜臺顔色動凄其。雪天他日圻橋會。鶴立淸姿更是誰。</text>
