<title>南歸路中有感</title>,<text>幾年違子職。七日阻君門。忠孝兩難效。凄然傷我魂。</text>
<title>書示同門諸益</title>,<text>有求終利念。因靜得天眞。誠敬工夫處。須看日日新。</text>
<title>病卧泮中</title>,<text>病卧賢館側。窮冬白雪飛。懷親千里隔。戀闕一身微。鴈逐孤魂去。雲從遠眼歸。經年嗟係累。何日舞萊衣。</text>
<title>春日龜齡席上。與諸賢共賦。</title>,<text>陽和春日㧂寅賓。高會諸贒摠席珍。此行須非要采艾。聊看時物闖生仁。</text>
<title>疏不見省。遂南歸作二絶。</title>,<text>明倫堂上未明倫。不若歸家老此身。一片丹衷無地訴。出門只有淚沾巾。經國嘉謨是五倫。恐藏斯怒愧仁人。如令棣萼嚴霜打。其奈萱闈血淚晨。</text>
<title>示同門諸益</title>,<text>試看塵寰役役忙。萬蹊千逕摠羊腸。箇中細討安身處。只有吾門主一方。</text>
<title>讀書 二首</title>,<text>霏微曉雨濕芸床。簾外寒梅暗送香。讀罷看山聊自樂。古人心事一般長。病卧江湖獨晤言。美人迢遞隔雲端。如今謝却人間事。留與功名寄少年。</text>
<title>爲學</title>,<text>爲學須要學聖人。工夫只在檢心身。看他物欲都消處。萬斛靈源自有眞。</text>
<title>偶成</title>,<text>年華冉冉此中忙。頹卧窮廬晩慮長。白髮有緣催鬢綠。丹衷無路徹穹蒼。時從活水看流息。暫把農書卜雨暘。違誨由來生鄙吝。一心留在泗濱堂。</text>
<title>蓮花</title>,<text>十里荷花一色裁。晴湖鏡面凈無埃。紅房浥露新如拭。翠盖牽風掃復開。淸艶獨爲君子愛。遠香如怕俗人來。菱歌唱罷遅回棹。隔水迢迢望美懷。</text>
<title>輓詞[參知裴大維]</title>,<text>霧露東廂石火忙。君民壯志竟荒凉。千里故人腸斷處。一聲柔櫓遠斜陽。</text>
<title>輓詞[五休安𤣲]</title>,<text>殷夢初驚處。浮雲世事空。故園黃草露。新宅白楊風。穉子攀呼慟。親朋恨道窮。幽明從此隔。殘月隱西峰。</text>
