<title>晩晴</title>,<text>疎雨下山足。輕飈行磵林。鳥遷高樹囀。人倚小樓吟。</text>
<title>新晴</title>,<text>久雨煙沈屋。新晴月在天。不眠多少思。扶杖立庭邊。</text>
<title>寒碧樓</title>,<text>宇宙一男子。淸風寒碧樓。憑欄發長嘯。江月五更秋。</text>
<title>次李訓導 鼈 木刻梅鶴韻</title>,<text>宜看何臘每看宜。飛不衝天好不飛。欲識老仙心會處。箇中相對獨吟時。</text>
<title>偶吟</title>,<text>坐則吟詩臥則睡。孤村永日小齋淸。庭前綠樹流鸎語。不換金張絲管聲。</text>
<title>送舍弟煕叔之任濟州半刺</title>,<text>一島三韓外。波濤萬里長。非緣王事急。豈是宦遊方。淸白吾家業。寬仁政所當。將親伯仲在。好去好還鄕。</text>
<title>挽詞</title>,<text>素絶紛華慕。常存淡泊情。交遊罕徵逐。勢利怯趨營。未得稀年壽。空留一第名。才華竟安用。沈慟獨沾纓。</text>
<title>挽詞</title>,<text>白首生何樂。交親半已亡。今君又長逝。令我更摧膓。淚逬山陽笛。魂驚落月樑。朱絃從此斷。誰復識峩洋。</text>
<title>客中秋雨</title>,<text>日暮雲垂地。秋山冷雨聲。客囪惟待月。長夜若爲情。未是田家望。空遲馬首程。天公太喜事。種種惱吾生。</text>
<title>挽柳進士 泰元 內室</title>,<text>縱闕升堂拜。兄呼兩胤君。孰知閨壼德。波及族鄰熏。疾病經年痼。鸞凰半道分。秋風先隴側。松栢擁新墳。</text>
<title>醉贈尹秀伯</title>,<text>大酒吾能任。高歌爾莫辭。且堪今夕會。那待後朝期。燈暗月承早。語甘杯動遲。生前張翰說。千古未應欺。</text>
<title>題小囪</title>,<text>方正循繩墨。東南面小坡。風生凉自𥂖。月出白先波。獨睡憑來穩。新詩倚後哦。飄零愁寂裏。賴爾慰情多。</text>
<title>蓮池</title>,<text>春池活水淨如鉛。荷葉田田小似錢。風繞曲欄遲日晩。鳥聲輕碎柳陰邊。</text>
<title>卽景</title>,<text>垂柳陰陰覆小溪。溪邊芳草綠初齊。嬌春野鳥呼聲滑。倚杖幽人睡睫迷。</text>
<title>丹陽道中</title>,<text>屛開劒拔幾千巒。太始天公用力艱。大禹未曾勞鑿破。長江誰遣穩回盤。棲雲白屋蕭蕭靜。擇樹幽禽箇箇閒。親老時危身計拙。不堪惆悵出東關。</text>
<title>謾吟</title>,<text>燕語鸎啼雀引雛。樹陰東轉日初晡。脫巾倚戶淸風至。蕩滌煩襟夢覺蘇。</text>
<title>碧桃</title>,<text>三月春歸四月來。荊扉晝永掩蒼苔。東風憐我無相伴。留與碧桃庭畔開。</text>
<title>喜雨</title>,<text>夜雨霑原野。朝煙壓藪林。阡阡人荷鍤。曲曲水平尋。酒債秋應足。深杯菊可斟。猶知免賣犢。只恐縣官侵。</text>
<title>詠懷</title>,<text>日下荒城暗。蛙聲匝水田。家貧堪辟穀。世亂合求仙。萬古唐虞遠。千秋日月懸。空懷多少恨。獨立看蒼天。</text>
<title>道中吟</title>,<text>地負山河萬里雪。天噓西北一箕風。行人已盡斜陽外。獨策玄黃猶向東。</text>
<title>送人</title>,<text>連山疎雨下前溪。白鷺一雙飛向西。光陰冄冄別離苦。引滿何辭醉似泥。</text>
