<title>半月 辛丑</title>,<text>玉兔身全缺。銀蟾面半開。謫仙飛去後。詞客幾停盃。</text>
<title>月夜次三南韻 丙午</title>,<text>月白星稀夜。寒鴉繞樹三。却思曹孟德。何事笑江南。又爲愛淸光好。開罇酌兩三。杜鵑挑客興。中夜哭山南。</text>
<title>詠月</title>,<text>靑天一片月。誰遣碧雲遮。帝厭人間謗。不朙照正邪。</text>
<title>偶吟 甲寅</title>,<text>天寒亥子月。萬物凋零時。獨立不渝者。靑靑松栢枝。</text>
<title>贈別三從弟喜徵 乙卯</title>,<text>累日聯床榻。歡情那可論。慇懃相送處。把袂兩無言。</text>
<title>偶吟</title>,<text>一嘻復一笑。世事還無常。不如都相忘。花前把玉觴。</text>
<title>贈三從弟遠徵</title>,<text>禽鳥亦相樂。人間有太平。與君石上坐。共抱羲皇情。</text>
<title>偶吟</title>,<text>室靜心愈靜。山高目亦高。下句逸</text>
<title>臨命詩 丙辰</title>,<text>仙人駕玉鶴。歸路白雲間。一去三千歲。或作世 碧天空自閒。或作寒</text>
<title>秋日 丙午</title>,<text>天時自相代。秋日飽淸凉。萬壑楓添紫。千園菊綻黃。風前 缺 送響。雲外鴈呼霜。白屋閒無事。孤眠到夕陽。</text>
<title>贈尙煕上人</title>,<text>露嶽山前寺。煕師乃是宗。瘦容鸞倚竹。身世鶴棲松。業素塵難染。心淸法自通。時尋巖下路。鍊藥白雲中。</text>
<title>早春書懷 丁未</title>,<text>松扉病初起。春意滿江鄕。地下龍驚蟄。天中鴉潤光。半開梅眼細。新展柳眉長。願借東君化。將迴老與亡。</text>
<title>次古詩</title>,<text>茅堂春日麗。詞客夢初驚。草色連幽逕。花光滿古城。天容千里濶。野勢一望平。荊扉終日掩。蕭颯萬松聲。</text>
<title>人日自警 辛亥</title>,<text>我參三才一。俱存禮智仁。紛紜隨世利。迷醉失天眞。掩目思前事。驚心發愧顰。舜余知在學。宜勉日維新。又忽覺蟾烏促。吾生十八年。義由敬兄始。仁自愛親先。散坐知心倦。空談害性全。夙興與夜寐。斯訓在遺篇。</text>
<title>代人挽 乙卯</title>,<text>故友多零落。親朋惟有公。何公又別世。使我痛無竆。宿計重泉隔。舊遊一夢空。哀辭不忍寫。掩淚泣東風。</text>
<title>贈露嶽山人 乙巳</title>,<text>朝掩書牕晝不開。隔軒時有午風廻。柴門忽聽狗兒吠。知是山僧乞句來。</text>
<title>草堂呼韻 丁未</title>,<text>正値南園草木春。郊原梅柳一般新。溪村洽似桃源興。滿眼風光覺有神。又江南佳節屬靑春。時物紛紜入眼新。誰送此間麗景遍。碧桃紅杏摠精神。</text>
<title>路中 庚戌</title>,<text>蒲芽初長柳眉顰。堤上春光逐日新。石路倦行山欲暮。溪花迎笑獨歸人。</text>
<title>呼韻 辛亥</title>,<text>陰陽之說自軒太。極盛則衰否則泰。細觀物化深竆理。天地何曾外八卦。</text>
<title>偶吟 甲寅</title>,<text>江山十月怒高風。六合都歸振盪中。霧影雲光消散盡。悠悠萬里一靑空。</text>
<title>次某</title>,<text>玉能磨琢方成器。人乃箴䂓寔有功。今日若無詩以勉。豈知爲學愼有終。又相逢却喜心無間。只恨悤悤未慣顔。須識丈夫交契志。不遷宜是重於山。</text>
<title>贈別三從弟喜徵 乙卯</title>,<text>亭亭紅日上溪門。影射雲林玉露翻。臨別踟躕不忍去。相看脉脉黯消魂。</text>
<title>觀史有感</title>,<text>蕭劉只欲安宗社。陳杜 或作竇 何曾好黨權。蒼頡誤書權黨字。古今能陷幾人賢。</text>
<title>次覺還上人</title>,<text>勝地淸遊屬暮秋。登臨難禁興悠悠。風前最愛丹楓葉。半落寒溪點點流。</text>
<title>自俗離暮投山村</title>,<text>一筇尋罷白雲扉。匹馬秋風帶暮歸。碧水靑山未盡興。夜來猶向洞天飛。</text>
<title>秋夜</title>,<text>枈扉高啓菊花煙。正是山中九月天。天公似解幽人趣。催送淸光入眼前。</text>
<title>贈朴瑞兼 禧慶 兄弟 丙辰</title>,<text>比來親愛弟兄同。未死心情豈有竆。臨別慇懃何所贈。却將忠孝勉諸公。</text>
<title>以痘臥三山。感春景之將暮。述懷。</title>,<text>夜雞報曉寬愁緖。夕鳥啼春慰客思。可惜他鄕身抱病。無人來訪獨居時。</text>
<title>旣經痘而歸庭。路中有感。</title>,<text>昔我來時雨雪霏。春殘今始故山歸。丁寧爲問家鄕事。牕外棠花尙不飛。</text>
<title>水石亭 乙巳</title>,<text>風日凄凄小水頭。殘波嗚咽至今流。山中薄霧濃還淡。野外寒煙抹更浮。漁父生涯磯一片。謫仙遺躅鶴千秋。斜陽徙倚松亭望。天末孤雲謾自愁。</text>
<title>詠雲月 辛亥</title>,<text>風淸鶴背孤雲末。秋晩蟾宮老桂査。雲帶月輝猶靉。月含雲影更婆娑。人嫌皓月雲間隱。我愛纖雲月上多。却笑南樓玩月者。只知朙鏡不知他。</text>
<title>偶吟 甲寅</title>,<text>紛紜擧世爭昏惑。此理由來識者稀。役利何須心自苦。樂天猶可道相依。鵬摶碧海因風去。鳳叫丹山覽德飛。萬事從知有時命。信非人力所能違。</text>
<title>挽申白原 碩蕃○乙卯</title>,<text>乾坤元氣太融融。收拾由來賦我公。篤守方看名益著。自卑還見德彌崇。少微半夜星精薄。斯道千秋正脉竆。從此吾鄕何取法。獨傷心事泣東風。</text>
<title>代人挽申白原</title>,<text>學道平生勤勉修。終知才行冠南州。胷藏經籍三千卷。身卧林泉五十秋。富貴尊榮非所樂。貧竆饑乏不曾憂。樑摧此日吾安放。重爲斯文涕自流。</text>
<title>贈朴瑞兼</title>,<text>妙年才藝卓超倫。雪月襟期秋水神。顔面莫言今始見。心情誠若舊相親。竆經𥳑策詞章富。受業儒賢學行純。願爲斯文須自愛。孜孜宜勉日維新。</text>
<title>代人挽</title>,<text>四十年前已識君。從知行誼擅鄕隣。自期衰老情相托。豈意幽朙路共分。寂寞寒煙沉故宅。凄凉殘月照新阡。元來𥢼善當流慶。多子多孫摠拔羣。</text>
<title>與諸友遊俗離山</title>,<text>盡日登登寶界平。仙扉開處白雲生。淸湍十里飛塵斷。翠黛千秋逸氣橫。世外風光眞得意。人間榮辱已忘情。夜來餘興誠難禁。醉倚禪牕待月明。</text>
<title>感春述懷</title>,<text>病臥他鄕數月餘。忽驚時序暮春初。花光燦爛紅翻日。柳色依俙綠暎虛。歸思謾敎佳景感。客懷還使 缺 歔。何時始得身強健。好帶和風返故居。</text>
