<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>登鎭西門樓。與伯氏共次王右丞韻。己丑</title>,<text>向晩登臨碧。樓名 斜暉照片城。樽邊衆山出。樓外一江平。繫馬移花影。吟詩緩鳥聲。最憐田野色。處處麥初生。</text>
<title>遊淸潭二十韻共賦 庚寅</title>,<text>吾家幽勝地。結屋俯澄潭。名與金剛並。境將玄圃參。眞源尋郭北。華岳屹亭南。蒼鼠緣危壁。丹楓雜翠柟。泉聲醒俗客。雲氣護仙菴。錦葉侵衣亂。霜花入酒馣。凉風高閣晩。落日遠峰含。枕漱塵腸洗。盤旋靜性涵。枕漱，盤旋皆臺名。 臨溪坐白石。步壑踏靑嵐。端合鍊丹汞。誰堪事穡蠶。游魚爭餌集。恠鳥對人喃。囊滿新詩積。屐穿佳景探。寺墟留古砌。佛骨冷空龕。仁智各殊適。歡娛俱不堪。三嘆題壁句。千古散經談。靈界看逾好。盤蔬咬亦甘。悠然忘世久。不覺枕壺酣。佳節維重九。親朋况四三。良駒皆在冀。美玉必求藍。此地莊畿內。世人多未諳。</text>
<title>柳大哉 埅 自金浦試所來訪。口號以贈。</title>,<text>嗟君來自金陵試。射策公門不得志。蹉跎世事復何愁。我酒消憂今可醉。</text>
<title>閒中次唐詩韻 二首</title>,<text>春報雪中梅。月驚枝上鳥。欲知夜如何。請看星多少。西城酒客來。南谷詩朋去。昨夜送人盃。又酌逢人處。</text>
<title>失題 辛卯</title>,<text>循環天理是。自取莫尤人。寒雪隨風盡。長條得雨新。繁華夢裏事。寂寞山中身。翻覆如碁局。孤舟汎海津。</text>
<title>晴日</title>,<text>烟磯或垂釣。雨田或播穀。江村兼野色。高樓漢水北。</text>
<title>詠懷</title>,<text>問余心安在。榮名非所欲。名利是機穽。軒冕猶桎梏。富貴君莫道。吾知多憂辱。可憐彼人者。奔走何促促。患得又患失。何日盡其慾。今日纔得隴。明朝又望蜀。我性多疎迂。豈忍爲碌碌。願學泥塗龜。不作籠中鵠。苔臥桐江磯。草沒潁水曲。羡彼二君子。高節超塵俗。此道知者稀。嗟哉誰能續。駑駘皆金勒。駿駒還踡跼。珠羞渾魚目。只自櫝美玉。園花一春紅。山竹百年綠。榮寵豈能久。飜覆在一局。吾道不得行。獨立心躑躅。從此無所求。聊知自勉勖。</text>
<title>留別閤梅 時將適全州</title>,<text>貞貞閤中梅。我所平生愛。宛全幽閑風。兼得嬋娟態。鶴鳴琴聲和。日夕笑相對。疎影倚明月。春容笑白雪。惟君眞吾友。花淡香亦潔。凌寒獨自開。元非凡卉倫。超然志操高。不着一點塵。百年結深契。一室與相親。三日若不見。我心如調饑。風雪三百里。不得與爾歸。回首路漫漫。憑枕夢依依。百花南州春。紅紫眼外視。吾君思我情。遙知亦如此。惜別萬重懷。聊寄數字裏。</text>
<title>凝淸堂 在全州。次壁上韻。壬辰</title>,<text>綠竹颼鳴雪葉尖。碧梧疎老月枝纖。南州暖日如春節。歌妓當窓笑捲簾。</text>
<title>入道岬寺。樂淳禪室主人訪我向大芚去。</title>,<text>客倚禪窓聽夜鐘。風聲來自梵園松。主人不見多怊悵。月色空明月出峰。</text>
<title>次權生景裕 容 四時韻以贈 四首○癸巳</title>,<text>一年麗景此辰多。步上西園草逕斜。坐點羣芳春不盡。梨花落處又桃花。炎日紅塵昏不晴。吾廬可愛獨幽淸。池蓮剩得錢塘色。風送淸香雨送聲。羲皇夢繞太和樽。塵事紛紛不到門。昨夜秋風霜後急。黃花消息問西園。閤裏新梅數朶稀。寒風白雪撲窓飛。人自不來吾不出。村南日日掩柴扉。</text>
<title>走筆次金保卿 宗喆 韻</title>,<text>籠裏飛禽泥底龜。人生苦樂有誰知。憐他跼促世皆醉。享我淸閑天亦私。情厭機權推局子。心憎殺活捲竿絲。欲將名姓逃塵臼。不願銘彝與記旗。</text>
<title>莫出路 甲午</title>,<text>行行無所息。日暮雲陰蔽。恐懼當道險。下上皆莫逮。豺虎從背吼。蛇豕向前噬。虞人撤機穽。獵者藏利銳。所以無畏戢。橫行益肆厲。陰風動萬壑。烈烈助其勢。蒼蒼亦有憾。云何毒物嬖。回憶大禹功。遠放四海裔。邈矣難復見。望望將安逝。吁嗟莫出路。愼重千金衛。</text>
<title>中秋夜。與李叔仲存氏 在誠 及諸人拈杜老韻。</title>,<text>玉宇初高銀漢深。天公爲月蕩雲陰。誰乘萬里羅公杖。欲問千年太白吟。圓影隨風散方沼。淸光落酒入疎襟。與君幾度同玆景。勝事難於得萬金。</text>
