<title>正陽寺</title>,<text>月隱靑蓮外。雲生古㙮西。淸簫擬一弄。秪恐鶴驚栖。</text>
<title>記夢</title>,<text>千挺簷前竹。一條檻外泉。林塘雨初歇。香濕採蓮船。</text>
<title>金泉寺</title>,<text>雲氣連松檻。泉聲爽客襟。隔林啼杜宇。殘月半峯陰。</text>
<title>栗峯姜察訪繗贈簑</title>,<text>細雨前溪水。垂綸坐釣磯。阿誰剛解事。贈我綠簑衣。</text>
<title>題宋擇善臨淸堂</title>,<text>蕙路無人問。松雲深復深。臨淸營小築。魚鳥是知音。</text>
<title>草堂。用板屋韻。和朱文公南嶽唱酬韻。</title>,<text>琴書一室靜。松竹碧參差。白首長昏飮。經春不賦詩。</text>
<title>題畫簇</title>,<text>遠峀㘅殘照。寒沙漲暮烟。幅巾三兩子。驅馬渡長川。</text>
<title>感懷</title>,<text>人生百歲間。倐若風中燭。萬事不關心。山樽聊自酌。</text>
<title>錦雲亭避暑。示主人。二首</title>,<text>月臨山檻外。花落藕塘中。勝境逢知己。淸樽幸不空。林月向人明。荷香透檻淸。肝腸托樽酒。一笑話平生。</text>
<title>悼朴老</title>,<text>早歲欣相遇。偕成白首翁。存亡今幾日。宿草又秋風。</text>
<title>遊山。以行到水窮處。坐看雲起時。分韻。十首</title>,<text>錦繡秋容凈。玲瓏碧澗淸。閑携九節杖。踏遍亂雲行。山僻水泠泠。松深雲皛皛。衣纓多誤身。卅載始重到。二樂癖難痊。紛華心不起。平生一筇枝。踏遍名山水。露凉千澗菊。霜染萬林楓。邃谷彤霞漲。尋眞路欲窮。澗水凈無聲。松雲自來去。萬鍾等浮雲。烟霞吾欲處。掛冠碧桂枝。朗咏松風下。世事不關心。携琴臨水坐。雲林隔綺陌。誰與較忙閑。白石携琴坐。靑山柱笏看。收身雲壑裏。懶學媚人文。末路誰知己。靑山有白雲。山心不自聊。步入蒼松裡。僧向潭邊歸。雲從巖上起。本是耽山客。初非經世姿。烟霞遂踈懶。無術佐明時。</text>
<title>松潭口占</title>,<text>西潭月欲沉。山客眠初覺。拓戶坐三更。深林哭射豹。</text>
<title>草堂卽事</title>,<text>山檻雨新晴。竹西流朗月。候蟲那忍聞。心緖轉悽絶。</text>
<title>叢石錄。呈殷把捴老爺。</title>,<text>勝境逢仙侶。秋花暎酒觴。莫愁歸路黑。天際月流光。</text>
<title>蒼屛亭</title>,<text>細草沿長路。幽花映斷坡。東風一樽酒。斜日獨長歌。</text>
<title>松潭 三首</title>,<text>榮落平生事。悠悠八十年。舊遊成悔吝。新興屬林泉。逕菊叢叢嫰。巖楓葉葉丹。臨流拚一醉。綠水暎酡顔。南磵雪初晴。西巖雲自起。日高尙擁衾。誰識閑中味。</text>
<title>題畫屛</title>,<text>霜林烟散後。平楚日斜時。恠殺雙寒鵲。多年着一枝。右鵲積雨初收脚。泉甘草自芊。田家稼事息。隨意卧溪邊。右牛</text>
<title>秋夜偶吟</title>,<text>寒暑迭相傳。年光疾於羽。幽人耿不眠。絡緯終宵語。</text>
<title>寄沈判决令侍</title>,<text>英豪天下士。人說沈徵君。何事湘江畔。空傷楚客魂。</text>
<title>題成仁仲舊居</title>,<text>悠悠駈馬渡長流。無限風光動客愁。江上幽居人不見。白雲紅樹爲誰秋。</text>
<title>題贈學齡上人 二首</title>,<text>蕭然甁錫一閑禪。來自龍巒翠靄邊。簿領正稀春晝永。泊然相對話山川。鄰城佩綬亦君恩。咫尺松楸隔白雲。偶與比丘談往事。千行老淚落紛紛。師語及亡弟事。愴然而作。</text>
<title>憶弟</title>,<text>桐花落盡雨新晴。殘堞無人野鳥鳴。湖嶺迢迢鄕信斷。海濤聲裏獨含情。</text>
<title>贈道和上人</title>,<text>甁錫飄然下碧峯。白髭靑眄舊形容。翻思昔日相携處。安養庵前月掛松。</text>
<title>宿長正津</title>,<text>小店踈籬擁曉霜。轉蓬心事倍凄凉。長風捲海濤聲壯。驚却還家夢一塲。</text>
<title>三日浦</title>,<text>二十年前此地遊。丹書巖下繫孤舟。只今白首重來訪。依舊風光豁病眸。</text>
<title>宿明波驛</title>,<text>踏盡鳴沙古驛程。淡烟斜日掩柴荊。孤村夜久喧囂息。隔水猶聞一杵鳴。</text>
<title>次淸澗亭韻</title>,<text>碧海朱欄酒滿缸。蓬壺風景自無雙。沙禽喚起滄洲夢。日出扶桑人倚窓。</text>
<title>祥雲亭</title>,<text>吸盡襄陽酒百巵。鳴沙歸路月如眉。驚濤駭浪掀坤軸。疑是千兵萬馬馳。</text>
<title>秘仙臺。看日出。</title>,<text>淸曉鳴沙信馬行。仙臺高揷海雲平。登臨直待扶桑旭。萬里晴光一㨾明。</text>
<title>叢石</title>,<text>踏盡金剛千萬峯。來尋叢石四仙蹤。滿天明月滄洲靜。笙鶴一聲人倚松。</text>
<title>宿中臺山店。待繡衣之行。客思蕭凉。苦無悰緖。口占拙語。錄奉大應。二首</title>,<text>屛擁千峯一逕深。踈籬矮屋隱楓林。蕭蕭落木三更雨。挑盡寒燈聽曉砧。三年天末未言歸。白首如今悟昨非。却憶故人高遯處。白雲紅樹掩柴扉。</text>
<title>臨瀛府。贈巫峽兒玉桂香。</title>,<text>雲消巫峽月揚輝。玉桂天香襯客衣。低唱艶歌樽有酒。高樓談屑政霏霏。</text>
<title>家姪仲綏。因道正揔攝。寄聲。</title>,<text>蓮社蒲團伴靜禪。松聲月色二更天。萬金書札來何自。知是烟霞袖裡傳。</text>
<title>錄寄榮老。兼示仁叔福汝。聊叙未歸之情。三首</title>,<text>嶺樹江雲魚鴈稀。兩鄕情思淚空垂。如今始决歸田計。夜雨聯床喜有期。鄕國東風客未回。小梅無主爲誰開。重尋舊隱知何日。倘把山翁舊酒杯。孤城寂寂吏人稀。關塞紛紛羽檄馳。想得船巖春正好。綠蓑靑蒻夢相隨。</text>
<title>叢石瀉懷 三首</title>,<text>霧罷滄洲日上初。千叢碧玉畫難如。風光信美非吾土。終憶鄕山水竹居。勝日携尊坐綠苔。天涯春思若爲裁。萬條蒼玉臨寒渚。爭似淸堂竹映梅。扶桑一面水浮天。關嶺千重道路綿。骨肉團圓知幾日。東風回首思茫然。</text>
<title>田家四時 四首</title>,<text>槿籬茅屋稱幽栖。碧柳靑蒲遶斷堤。斜倚小欄慵不起。百花叢裏聽禽啼。脩篁碧霧擁西東。寄傲南窓一老翁。深巷綠苔人不到。石榴花落小庭中。田家歲熟足生涯。白酒黃花興更賖。霜落小𦤎明活畫。滿林紅錦夜來多。醉擁重裘不怕寒。土床晴旭午眠閑。窓前一樹寒梅在。留與吟翁靜裡看。</text>
<title>罷官阻雪。寓回山尹生家。三首</title>,<text>居人不解世炎凉。爭把春壺勸一觴。取醉偶成猿鶴夢。一筇重到舊金剛。山外孤村似故鄕。杏花踈雨燕飛忙。蒼苔侵逕無人問。一枕欹來睡味長。榾柮頻燒煖土床。登盤新菜當膏梁。塵喧靜處門長掩。山杏花陰覆短墻。</text>
<title>摩訶衍</title>,<text>參差瓊峀水東西。千仞丹崖獨鶴栖。巖畔碧桃春欲暮。子䂓無數月中啼。</text>
<title>眞歇臺</title>,<text>天衢輝映玉千叢。碧霧紅葩活畫濃。何處古庵僧禮佛。磬聲遙落白雲中。</text>
<title>海雲亭 在漁村</title>,<text>海天無際水如烟。淸坐湖陰思渺然。鶴馭已旋亭獨在。只今松月向人圓。</text>
<title>林亭謾興</title>,<text>松雲竹霧晩沉沉。落日平臺坐綠陰。一抹炊烟連碧海。前村雞𪀋雜沙禽。</text>
<title>弱水驛</title>,<text>林霏初散月侵門。魚躍楓潭動錦紋。西崦僧來尋遠客。滿筐山果帶霜痕。</text>
<title>槐山道中</title>,<text>十年戈甲困生靈。塞上猶留萬國兵。白首壯心還寂寞。龍泉無賴匣中鳴。</text>
<title>黃岡川上露宿</title>,<text>黃茅極目四無村。雲駁天衢月吐呑。露宿寒沙人不寐。五更風雪滿衣痕。</text>
<title>送宋察訪福汝謝恩之行</title>,<text>弓㫌忽到水雲鄕。征旆遙遙指洛陽。別後林亭秋社飮。與誰爭把菊花觴。</text>
<title>春日。園中偶吟。四首</title>,<text>小雨廉纖日易昏。遊蜂啼鳥靜中喧。天機衮衮春將盡。無限閑愁獨掩門。巷絶輪蹄晝不譁。黃冠慵着鬂鬖髿。柴扉手拓踈篁外。步出林亭踏落花。落盡山花雨意沉。黃鸝嬌囀綠槐陰。扶筇獨立蒼林下。閑看白雲生遠岑。幽居閑占碧山阿。白晝林中啼蜀魄。除却看書與種花。更無一事煩心曲。</text>
<title>題韓景逸月浦亭</title>,<text>高人如玉隔烟霞。淸夢尋常度碧波。邂逅一樽相對地。半江斜日照蘋花。</text>
<title>贈雪壑居士 二首</title>,<text>荊江詩老久聞名。白首相逢眼忽明。從此一竿江上石。綠簑靑蒻共餘齡。浪迹江湖鬂已斑。一生魂夢斷人寰。濯纓歌罷滄洲靜。釣艇寒蘆月一彎。</text>
<title>送辛參議用錫</title>,<text>徵書催返翊淸朝。黃菊花邊送遠軺。別後悄然門獨掩。滿庭秋色雨蕭蕭。</text>
<title>余少時。癖成山水。江湖泉石之間。足跡殆將遍焉。老罹兵禍。飄泊窮鄕。每於淸晨靜夜。回憶舊遊笙歌觴咏之樂。邈若隔世。未嘗不發嘆而興懷也。仍賦嶺東紀行詩。以寓雅想云。二首</title>,<text>金剛三度宿靑蓮。天聖山中再訪仙。㝡愛淸平巖畔舍。梨花明月聽啼鵑。少年浪迹窮山海。晩節荒村與死鄰。藜杖只今空倚壁。白頭還作卧遊人。</text>
<title>贈鳳住寺僧</title>,<text>人生於世等風燈。萬事紛紛劇亂繩。臨死幸投閑世界。竹林深處伴高僧。</text>
<title>漢江。留別一松諸公。</title>,<text>遼陽孤鶴獨歸來。擧目山河淚不裁。賴是數三知己在。秋風江上把離杯。</text>
<title>草堂偶吟</title>,<text>脩竹千竿一老身。琴張經卷養吾眞。柴門寂歷經旬掩。落盡梅花不見人。</text>
<title>月浦泛舟</title>,<text>蘆花如雪水如羅。一棹蕭然泛碧波。林月欲升𩿨亂叫。滿衣風露聽漁歌。</text>
<title>碧落觀魚 亭名</title>,<text>千挺蒼髯蔭一丘。澄湖百頃澹如油。潭魚會我心機息。皷鬣波頭恣意遊。</text>
<title>䨥溪垂釣</title>,<text>綠簑靑蒻雨冥濛。秋水沙明徹底空。一尺細鱗新釣得。呼童吹火荻花中。</text>
<title>高寺尋僧</title>,<text>蘭社蓮房伴寂寥。白雲蒼靄暗楓橋。蒲團便覺塵緣盡。山水淸談夜達朝。</text>
<title>草堂偶吟</title>,<text>窮愁無賴鬂霜明。撫枕中宵百感生。香盡博山窓逗月。竹庭虗籟夜凄淸。</text>
<title>謾吟</title>,<text>松筠窓外雨蕭蕭。明滅寒燈伴寂寥。筭了一生多少事。正如鴻迹雪中消。</text>
<title>感時謾吟。錄呈朴士和。求和。</title>,<text>客懷秋色共堪悲。月轉脩篁坐久時。咄咄世間多少事。亂蛩聲裏獨支頤。</text>
<title>錄奉李丈吟契</title>,<text>我生斯世八十歲。君謫人寰近百年。閱得平生無限事。莫如隨分老林泉。</text>
<title>偶吟 四首</title>,<text>步出柴扉踏澗沙。曉來微雨濕梅花。呼兒換取前村酒。朗咏懷川十六歌。特地風光見未曾。衆山環擁碧崚嶒。閑來手植桃千樹。爛熳紅霞似武陵。吟筇隨意踏花行。新綠陰中囀小鸎。門巷寥寥人不到。一番春事與誰評。癖成栽植不曾勞。無數松筠映碧桃。一日纔醒十日醉。杏花村酒價偏高。</text>
<title>題山齋 二首</title>,<text>溪流一派入池淸。雲影天光蘸水明。萬事世間渾不管。碧松陰下坐看經。林花初謝雨濛濛。濃霧渾山不辨峯。半世東華餘悔吝。獨來雲壑撫孤松。</text>
<title>西華</title>,<text>壺中別有一乾坤。溪上幽栖鎖白雲。彷彿武陵源裏入。桃花流水路難分。</text>
<title>金泉寺</title>,<text>尋眞來扣白雲扃。一卧蒲團萬慮輕。夜久千林羣動息。滿川風露月三更。</text>
<title>題朴景輝蓮堂 二首</title>,<text>結夢林泉早解官。竹風松月有餘閑。新堂又就淸潭上。萬事都輸一釣竿。北窓終日卧淸風。塵土衣纓一夢空。暝色入林山更靜。碧荷香動月明中。</text>
<title>書院川上</title>,<text>平蕪十里澹斜暉。水碧沙明山四圍。好與漁翁結隣社。渚烟汀月共忘機。</text>
<title>和朱文公南嶽唱酬韻 十三首</title>,<text>次口占韻霏霏山靄晝常昏。列樹寬圍水上村。野老溪翁爭席罷。滿川明月照空樽。次擧韓退之話韻死生哀樂捴茫茫。萬事從今信彼蒼。除却琴書無別事。泊然相對一爐香。溪橋月夜。次馬跡橋韻。扶藜閑度柳邊橋。橋下淸湖蘸碧霄。明月滿川罇有酒。隔溪詩老可相招。溪橋雪後。次半嶺小憇韻。雪晴溪路聳吟肩。汀樹蒼茫捲暝烟。驢背風流人不識。斷橋扶醉夕陽天。秋夜獨坐。次景物甚佳。吟賞不暇韻。月逗踈林鴈有聲。窮愁無賴鬂絲新。舊時行樂渾如夢。誰記荒村白首人。次雪壓竹枝韻雪壓脩篁箇箇垂。百年淸賞惱吟詩。山窓夜靜寒無寐。直待蟾光相映時。次泉聲韻觸石寒泉徹夜吟。宮商歷歷自成音。眞源發處雲常掩。不許風塵俗子尋。詠雪梅。次枯木韻。竹邊三樹老槎牙。雪裡寒梢已結花。寄語東風桃與李。暫時繁盛莫須誇。松潭次蓮華峰韻秋晩林塘雨打蓮。紅房翠盖自嬋姸。千年幽賞無人續。默誦濂溪凈友篇。雪夜。次林間殘雪韻。松邊竹裏散瓊瑤。山檻寥寥夜尙遙。香盡獸爐人不寐。桂花澄澈上層霄。閑居。次望岳市韻。牢掩荊扉斷俗緣。鶴庭松竹帶茶烟。極知身外無餘事。閑伴漁樵送暮年。草堂夜坐。次讀信老詩韻。山窓靜夜坐無言。彈罷瑤琴獨悵然。感古傷今仍不寐。小梅新竹月娟娟。登雪峯。憶見丈老。次醉下祝融峯韻。怳馭秋天鶴背風。百年淸賞滌塵胸。高僧更憶雲蘿外。板屋蕭條對雪峯。</text>
<title>偶吟</title>,<text>功名半世鳥驚弦。晦迹田園二十年。除却琴書無箇事。竹窓高枕夢山川。</text>
<title>元日。病未上山。愴然而作。</title>,<text>一雨連宵苦未晴。泥途沒脛斷人行。自憐抱疾孤村裏。注目松楸百感生。</text>
<title>咏合竹三梅</title>,<text>三梅萬竹近窓欞。冷蘂寒梢一㨾淸。待得小軒明月夜。對渠連倒兩三觥。</text>
<title>三樹老梅。雨中發花。香滿一庭。</title>,<text>苔槎擁腫竹林間。夜雨催花滿樹斑。老眼却嫌昏似霧。折來移入手中看。</text>
<title>訪友人幽居</title>,<text>縈石淸流細有聲。山花如錦向人明。烟霞偶做琴樽會。回首人寰萬事輕。</text>
<title>船巖川上。次朴生貼中韻。</title>,<text>桃花流水武陵深。活畫川原暝色沉。豪氣不隨窮老减。百杯春酒一長吟。</text>
<title>寄春崖</title>,<text>小雨初晴三月三。百花齊發水東南。扶藜晩出林臯外。兩兩嬌禽語碧嵐。</text>
<title>節友堂八詠</title>,<text>手栽三樹近簷端。苦節須從雪裏看。獨抱瑤琴淸坐久。月移踈影上雕欄。梅鶴庭東畔偃然身。獨立風霜閱幾春。滿壑淸陰人不到。盤桓終日撫龍鱗。松花中誰信歲寒操。葉裏長存四節花。寄語滿園桃與李。暫時繁盛不須誇。四季塗林安石捴佳哉。漢使移從海上來。深院日長山更靜。絳英顚倒落蒼苔。石榴百花飄盡綠成陰。黃鳥時時送好音。誰植數叢山檻外。獨留春色助閑吟。芍藥幽軒盡日坐燒香。山雨溪風送晩凉。莫道春光今不在。此君方有十分黃。黜壇花琪樹重重擁小堂。分明三色燦文章。無端一夜纖纖雨。濕盡墻頭艶艶粧。三色桃瑞霧霏微濕碧虛。瓊葩玉樹互高低。晴雲塞路無人到。明月滿壇花影踈。碧桃</text>
<title>法泉洞感懷</title>,<text>一生憂患傷豪氣。雙耳全聾兩眼昏。爲瀉幽懷尋水石。樹容山色捴傷魂。</text>
<title>法泉納凉 二首</title>,<text>綠樹陰濃溪上臺。笑談終日穩傳杯。酣餘亂掬淸潭水。洗盡平生滿面埃。淸流白石好山川。松桂陰中足午眠。爭似世間袍笏客。一生顚倒火雲天。</text>
<title>幽居六詠</title>,<text>夷土爲臺種竹梅。四圍靑嶂畫圖開。殘年已判安心術。塵事無從入耳來。環碧堂淑氣氤氳雨乍晴。東風不盡百花明。嬌禽似識幽人意。故向樽前欵欵鳴。百花壇籬菊巖楓擁小堂。爲携村釀答年光。扶筇晩出東林外。梨栗經霜拾滿筐。賞秋亭踈松檻外竹爲隣。秋菊春梅氣味均。雖使語言終莫接。可憐情狀似相親。節友堂堂滅兵戈但有臺。祖先芳躅捴塵埃。可憐風月依然在。感舊傷今淚不裁。雙淸堂雨後泉流竹底通。碧桃花下小塘空。紅房翠盖看無斁。遠挹濂溪君子風。凈友堂</text>
<title>偶題</title>,<text>林雲捲盡雨初晴。露草寒螿徹夜鳴。愁倚小欄仍不寐。竹風蕭颯曉凉生。</text>
<title>夜坐</title>,<text>星斗闌干夜向深。竹西殘月下遙岑。幽人捲箔支頤坐。無數寒螿徹曙吟。</text>
<title>錦雲亭避暑</title>,<text>水風蕭颯韻踈篁。雲駁長天月隱光。夢罷西廂欹枕卧。滿池荷葉雨聲凉。</text>
<title>巫山江上。送別女孫。愴然而作。</title>,<text>巫山東畔大江涯。寒葉蕭蕭落晩沙。骨肉遠分天際去。滿巾衰淚獨還家。</text>
<title>全義曉行</title>,<text>霜落荒郊鴈有聲。曙星初轉月猶明。故山松桂頻回首。底事艱關向北征。</text>
<title>謾吟</title>,<text>笙歌文酒鳳城春。疇昔繁華迹已陳。萬死天南一掬淚。路迷何處是通津。</text>
<title>偶吟</title>,<text>經年旅食未言旋。無限鄕心獨悵然。莫恠夢魂頻渡漢。寸心長在古梅邊。殘年遠別舊雲林。歷歷溪山夢裡尋。幾日三梅亭上月。百壺春酒對君斟。</text>
<title>桃花洞小酌</title>,<text>九十翁携八十翁。桃花洞裏一樽同。誰將此日羣仙會。收入龍眠尺素中。申同知濟伯公九十二歲。桃花洞主人李宜仲八十二歲。宜仲公置酒邀余。余以七十八歲參席末。眞曠世奇會。梨園老娼錦樓仙，後莫愁年皆六十。歌者注介七十七歲。玉只六十歲。爭來做歡。捨嬋姸而取老醜。亦人惟求舊之義也。月沙相公晩際來會。恣意歌詠。穩做劇談。夜深還家。</text>
<title>謾吟</title>,<text>如聾如醉又如癡。不省人間是與非。萬竹堂深春寂寂。落花啼鳥掩柴扉。</text>
<title>聽流亭 二首</title>,<text>天邊浮翠是龍山。分外晴光映畫欄。一抹斜陽明遠峀。彤霞無數漲林巒。碧水東頭築小軒。一庭花竹動吟魂。夜深凉月淸於水。流照琴書倂酒樽。</text>
<title>次朴參奉芑貼中韻</title>,<text>萬竹堂淸蕙逕深。圖書滿架篆烟沉。西村野老來相問。閑把山樽對月吟。</text>
<title>遊鷄龍山 二首</title>,<text>一脫樊籠萬慮灰。獨騎靑鹿入山來。瓊壇風露淸無寐。鶴馭迢迢帶月回。錦繡千林活畫明。衆峯無數碧崢嶸。丹經閱盡淸無夢。更向楓臺踏月行。</text>
<title>余於丙子年。來遊此山。與一見丈老。焚香石室。達夜談玄。仍訪五臺。飫賞而還。中年見師貽書于京曰。臺前五株松。乃一山中奇古物也。而州人欲浮取棺材。不能禁。願得五松臺三大字。揭于楣間。以絶其偸犯之萌。公其勉之云云。余邀石峯。繕寫而送。仍而得全。今到于此。悠悠歲月。奄至四十年之久。而臺廢無松。室空無人。愴然而作。</title>,<text>四十年前此峽中。五松蒼翠聳晴空。當時健筆今何處。惆悵難逢石室翁。</text>
<title>松潭謾吟 三首</title>,<text>斑鬢趨蹌紫陌邊。白雲高枕好林泉。朱門茅屋不同調。取舍間忙欲問天。陽坡春暖草抽芽。柳市風微鳥競譁。野老多情携酒至。鶴峯斜日漲彤霞。門巷蕭條絶馬蹄。藥爐經卷稱幽棲。欣逢韻釋談山水。月過踈松漸映溪。</text>
<title>蒼屛亭</title>,<text>幽居洒脫白雲陂。錦繡山光雨後奇。逈倚風欞吟不寐。曉鵑來叫碧桃枝。</text>
<title>呈春崖</title>,<text>昨夕。自芳園。分送各種春色。揷於一缸。怳如西子，玉眞。同席而坐也。病眼開來。沉痾頓痊。是何風流文彩。感人之深也。明發詠歎。爲賦拙句。以謝厚意。聞說韶華處處新。只緣衰病負芳辰。無端忽被傷廉謗。坐致林亭一半春。</text>
<title>瀑布</title>,<text>洞府沈沉萬木攢。玉虹高揷碧雲端。金剛十二吾曾慣。若比於斯伯仲間。</text>
<title>贈宋翊輔而</title>,<text>南國𠍶林擅妙譽。眞淳骨相乃翁如。名揚身立非難事。須向螢窓讀古書。</text>
<title>松潭 二首</title>,<text>誰道吾居境㝡深。林僧野老迭相尋。蒲團靜對談山水。月轉經床半壑陰。踈慵無術濟時艱。傍水新成屋數間。人是人非聞不得。白雲靑嶂掩柴關。</text>
<title>咏畫 三首</title>,<text>桃花如錦水如烟。峻岳喬松聳暮天。短僕在前驢在後。歸途遙指小亭邊。山柳陰濃夏日沉。九天淸瀑落江潯。巖邊濯足坐終日。滿袖淸風爽客襟。瓊林玉峀羽人家。絶壑危橋一逕斜。驢背吟情人不識。暗香何處是梅花。</text>
<title>記夢</title>,<text>蘆花如雪水迢迢。溪檻高凭客意驕。長笛一聲人不寐。玉輪飛出碧岧嶤。</text>
<title>寄題李子淵幽居四咏</title>,<text>凌天逸勢面吾廬。突兀三峯揷紫虗。竟日倚欄閑騁目。晴雲一抹卷還舒。三角晴雲蒼茫夕景漏雲斜。遠近川原漲紫霞。牧竪溪邊呼犢去。昏鴉數點返靑蘿。靑蘿殘照認是蓮坊隱翠微。石門踈磬遠依依。山禽棲定林初暝。花外孤僧帶月歸。鶴峴歸僧聲撼湖山殷殷雷。渚𩿨喧處認潮回。幽人驚罷滄洲夢。催喚船丁捲網來。曲浦潮聲</text>
<title>獨樂亭</title>,<text>山水平生計謬悠。風埃顚倒雪盈頭。如今始踏名亭路。愧殺滄波舊白𩿨。</text>
