<title>歸江亭</title>,<text>誤落塵埃中。三千垂白髮。秋風野菊香。策馬歸江月。</text>
<title>詠懷</title>,<text>平生慕節義。今日類山僧。絶粒無飢渇。心空息自凝。</text>
<title>詠懷 其二</title>,<text>心田無草穢。性地絶塵棲。夜靜月明處。一聲山鳥啼。</text>
<title>詠懷 其三</title>,<text>儒家明性理。釋氏打頑空。不識神仙術。金丹頃刻成。</text>
<title>在伽倻次石川韻</title>,<text>莫不苦長夜。誰令日未曛。欲看天地鏡。須自絶塵紛。</text>
<title>初構滄巖江舍</title>,<text>斥土治巖階自成。層層如削路危傾。莫道此間無外護。李三蘇百玩空明。</text>
<title>江舍偶吟</title>,<text>巖間犬吠知聲應。水裏鷗飛見影孤。江湖閑適無塵事。月夜磯邊酒一壺。</text>
<title>江舍偶吟 其二</title>,<text>下有長江上有山。忘憂一舍在其間。忘憂仙子忘憂臥。明月淸風相對閑。</text>
<title>詠懷</title>,<text>辭榮棄祿臥雲山。謝事忘憂身自閑。莫言今古無仙子。只在吾心一悟間。</text>
<title>有召命</title>,<text>九載休糧絶鼎煙。如何恩命降從天。安身恐負君臣義。濟世難爲羽化仙。</text>
<title>贈李完平 元翼</title>,<text>心同何害迹相殊。城市喧囂山靜孤。此心湛然無彼此。一天明月照氷壺。</text>
<title>贈李完平 元翼 和次釋同異</title>,<text>塵客仙曹道自殊。我求榮達子枯孤。欲知意味相同處。秋月明時酒一壺。</text>
<title>次成以道韻</title>,<text>欝欝靑松立石岡。淸宵獨寤起彷徨。山窓靜寂無塵事。只玩蒼髯傲雪霜。</text>
<title>下伽倻</title>,<text>山中寥寂勝塵間。靜裏乾坤合做仙。從他訛語驚人耳。回首伽倻獨悵然。</text>
<title>秋夜泛舟</title>,<text>風輕露白月明秋。雖縱杯觴心自收。弟兄姊妹群孫姪。都載翩翩一葉舟。</text>
<title>在靈巖逢女壻辛膺</title>,<text>男子當爲死義臣。天涯此日傍漁隣。雲山疊疊歸魂夢。道路長長來故人。一片丹心老益壯。千莖白髮櫛還新。莫非王土無堪恨。沽酒尋梅醉早春。</text>
