<title>春日</title>,<text>草綠王孫恨。花紅杜宇悲。相逢宜大醉。不必怨芳菲。</text>
<title>秋夜</title>,<text>月出灘聲急。烟沉野色迷。林風吹不絶。簷角鳥驚棲。</text>
<title>喜逢崔重吉 喆</title>,<text>久別重相逢。尊前故意多。襟期更淸絶。牕外有梅花。</text>
<title>山中贈李晦叔 時明</title>,<text>地僻居民少。山深怪鳥多。幽人何處住。雲物自堪誇。</text>
<title>山居月夜</title>,<text>月色和雲白。松聲帶露寒。江山奇更絶。移作畵中看。</text>
<title>山房贈友人</title>,<text>末路知音少。江湖任去來。幸同蕭寺約。仍把故人盃。石榻僧閒卧。雲崖鶴自迴。尊前談舊事。遙憶政堂梅。</text>
<title>種竹</title>,<text>種竹東堦下。叢條得雨新。蕭踈無俗態。淸爽有精神。愛我曾成癖。憐渠好作鄰。幽盟期歲暮。風雪見天眞。</text>
<title>咏竹</title>,<text>數叢堦下竹。經雨綠陰深。露葉含秋意。風枝帶瑟音。蕭疎添爽槩。淸絶滌煩襟。坐對凉生榻。能蘇病客心。</text>
<title>吳善源 潝 溪亭。次性源 瀷 韻。</title>,<text>爲愛溪亭好。千年鬼所慳。烟霞供趣味。詩酒做淸閒。水拖牕前鏡。雲粧帳外鬟。藏修宜此地。不必借華山。</text>
<title>懷古</title>,<text>末路何艱險。人間足是非。世情多感慨。時物自芳菲。學道功安在。匡時計漸違。唐虞今已矣。魚鳥共忘機。</text>
<title>謝黃正字渾元 有一 來訪</title>,<text>匹馬來相問。金風玉露秋。憐君冰到骨。愧我雪盈頭。叙別悲前事。論交憶舊遊。臨分倍惆悵。扶病強登樓。</text>
<title>過臨川鄕社有感 鶴峯金先生妥靈所</title>,<text>小廟依山麓。孤樓枕水濆。英風能竪髮。高義可醒昏。學道人何限。撑流子獨存。至今靑史上。天日照淸芬。</text>
<title>次白子長 源發 韻</title>,<text>地偏心自遠。詩酒送居諸。卧病三霜後。囊螢十載餘。身閒塵事少。書絶故人疎。醉卧茅簷靜。秋聲動古墟。</text>
<title>次李鵝溪 山海 韻 十首</title>,<text>睡罷蒲團靜。風簷細雨斜。寒梅連竹塢。殘雪擁茅家。覽鏡衰何劇。逢春病又加。閒中無外事。詩酒是生涯。身外何須說。榮枯過耳風。世情雲逐雨。時事浪翻空。跡似靑門子。憂同桼室翁。猖狂眞可笑。不必哭途竆。地接松林畔。門連野老家。詩從閒處覓。酒向靜中賖。萬事雲千態。孤踪海一涯。草堂春睡足。牕外竹陰斜。白屋荒村裏。餘生瘴海邊。光陰飛鳥過。身世老蠶眠。卧病知關數。乘槎欲問天。眼看春已暮。沽酒奈無緣。夜靜簷花落。開尊醉味融。竹深聞鳥語。雲捲露蟾宮。風月無今古。人情有異同。莫辭杯入手。時事轉頭空。雨歇雲收盡。風輕麗日明。山形更奇絶。江色轉新淸。花柳催詩興。琴歌惱客情。傷春多感慨。羞作老書生。策馬松林外。探芳細柳橋。烟消江浦濶。月出海門遙。身老悲前事。才疎愧聖朝。幽懷同病鶴。回首向蒼霄。屋上靑山近。尋春試一攀。風流非太白。霜鬢是潘安。感物消魂易。題詩覓句難。高歌君不發。何以做淸懽。小築依山麓。疎籬石作門。竹邊開朮釀。梅下喚詩魂。有信東溟月。無心北峀雲。欲知眞樂處。忘世又忘言。鏡裏驚華髮。衰容可奈何。柴門人跡罕。梅閣鳥語多。雪霽山增翠。風輕日欲和。松江春水足。扶病理漁簑。</text>
<title>山房雪夜 二首</title>,<text>地白疎林響。僧殘古寺空。山圍銀色界。人卧水晶宮。呵筆詩難就。驅寒酒有功。擁衾眠不得。鍾落五更風。北風吹積雪。山榻旅魂驚。爛熳瑤花發。玲瓏貝闕明。燈前心萬里。牕外夜三更。坐待銀蟾出。燒香拜斗星。</text>
