<title>潮汐</title>,<text>來時元有信。去處杳難尋。欲知消長理。鷗鳥自無心。</text>
<title>老樹眠鵲</title>,<text>一眠復一啼。夜氣更凄凄。風來驚小夢。葉脫露寒棲。</text>
<title>四季花</title>,<text>浥露開新靨。迎風擺舊嚬。元功依造化。長鎭四時春。</text>
<title>水鳥圖</title>,<text>相對蘆花岸。窺魚各有心。魚藏終不得。水草更深深。</text>
<title>眠鴈</title>,<text>拳足蘆花月。孤眠水國寒。無心戀粱稻。有夢滿江灘。</text>
<title>草梁津上</title>,<text>百水東朝海。靑山斷作門。沙禽如識面。來往近黃昏。</text>
<title>晨景</title>,<text>煙抹寒郊草。依微畵圖中。人橫牛背笛。餘韻小溪風。</text>
<title>浦村暮景</title>,<text>殘日半江樹。寒潮罨釣磯。忘機有漁父。鷗鷺不須飛。</text>
<title>遊見星庵石窟</title>,<text>鶴去巢猶在。松雲今幾秋。蒼苔掃石面。揮筆記同遊。</text>
<title>漁父</title>,<text>江雪滿蓬牕。垂綸待魚食。篛笠與蓑衣。暮寒多所得。</text>
<title>過獒樹驛</title>,<text>古樹陰官道。荒原有幾春。獒名依驛在。堪愧獸心人。</text>
<title>醉過聽松堂 申巨濟霽雲草堂</title>,<text>野外尋春步。山中帶醉歸。溪橋棲鳥盡。風露滿荷衣。</text>
<title>贈別薛馨叔</title>,<text>野榼供新菜。村樽瀌舊醅。依然還欲別。折贈小庭梅。</text>
<title>詠梅贈李石灘 愼儀</title>,<text>自愛江南樹。開花獨先春。枝間調鼎實。如爲北歸人。</text>
<title>梔子見偸</title>,<text>綠葉藏紅未。寒丹被此兒。能言無賴鳥。休更近空枝。</text>
<title>贈別崔千仞</title>,<text>君去江洲在。空餘芳草生。春風吹不盡。樽酒別離情。</text>
<title>醉後贈許鹿島 廷準</title>,<text>勸客杯心凸。留人月色多。醉來春夜靜。江水又無波。</text>
<title>記夢</title>,<text>庭月沉寒樹。殘燈照半衾。多情連夜夢。更理斷絃琴。</text>
<title>泮溪餞邊使君 潝○十首○居官淸謹見罷。時大令公牧濟州。故由此渡海。</title>,<text>淸溪淸我心。樹竹更奇絶。酌淸奉使君。氷壺照秋月。別恨恨無窮。溪流流不絶。莫嫌扶醉歸。山頭來好月。人間憂患多。世上交遊絶。花時又別離。載病孤舟月。悠悠天地間。離別何時絶。男兒方寸心。古今一明月。淸詩方七步。健筆凌三絶。春雲滿紙濃。句句聯明月。一劒竟何依。古琴絃欲絶。天地首空搔。知心惟有月。天門雲不開。道上鐙難絶。誰知渡海舟。只載高興月。欲繫西山暉。每憂長繩絶。一般人子心。更朂鯨波月。海外漢拏山。風光多勝絶。取摸一筆頭。寄我瀛洲月。死別與生離。眼枯而膓絶。人間百年愁。爲問中天月。</text>
<title>又 五首○以寓不盡懷</title>,<text>杜病藥難醫。韓窮文豈絶。離心又暗催。淚濺花時月。一言直千金。六聯又十絶。淸風吹白鬚。朗詠空山月。欲和留別章。寸心先斷絶。小兒不解愁。戱拜庭前月。好去古耽羅。莫憂人事絶。近聞海商言。犬睡桑麻月。解綬拂斑衣。傳家徽不絶。應招老人星。獻壽靑油月。</text>
<title>送黃漫浪 㦿 覲行</title>,<text>綵服催歸興。王鳧向紫霞。君親俱百福。回盖趁桐花。</text>
<title>除夜</title>,<text>今歲今宵去。明年明曉來。去來人自老。樽酒更添杯。</text>
<title>辭齋郞 仁祖四年</title>,<text>人靜魚登釣。波寒月滿舟。一聲南去鴈。啼送海山秋。</text>
<title>遊瑞石山</title>,<text>天池折得玉芙蓉。鶴上笙歌第幾峰。靜掃石壇如有待。兩三人倚兩三松。</text>
<title>題鴛鴦幛</title>,<text>隨朝對浴野塘深。趁夕同棲玉樹林。鴛鴦本是非凡鳥。莫繡梨園弟子衾。</text>
<title>柴市</title>,<text>暮天無語獨悲號。知有君臣不有刀。心照汗靑昭不滅。姓名千載日星高。</text>
<title>墨盡</title>,<text>沽得光山一片雲。片雲山點盡供文。殘光不忍磨其頂。旋捻旁爻與爪分。</text>
<title>退筆</title>,<text>功成欲退免冠辭。心力雖存鈍指揮。新進少年宜用事。元勳錄在滿床詩。</text>
<title>紫菊</title>,<text>楊妃夜醉紫霞醞。寶靨猶留未解痕。風雨馬嵬天不救。小花枝上寄芳魂。</text>
<title>次庾秀才仍古 長源 小亭三成韻</title>,<text>野亭仍樹自然成。竹席茅簷勝槩成。看書興倦無餘事。欲見周公小夢成。</text>
