<title>偶吟感懷</title>,<text>丹心懸日月。白髮際風塵。欲報君恩重。腰間有劒神。</text>
<title>題韓平李相公畫扇釣臺</title>,<text>地則桐江是。人非嚴子誰。羊裘嫌物色。換著綠簑衣。</text>
<title>送兒京江</title>,<text>春雨朝來晩。行人已啓程。途中應滯苦。未耐送歸情。</text>
<title>偶吟感懷 三首</title>,<text>爭道三春興。吾何獨自傷。回瞻西塞遠。鶴駕帶鵷行。九萬誰云遠。聽卑咫尺臨。驕姿吾竊笑。天道爾何諶。五斗誰知耻。陶潛獨一人。如何未歸老。役役又今春。</text>
<title>蕭寺 二首</title>,<text>谷轉山逾邃。穿林一徑微。斜陽投古寺。雲衲拜巖扉。鍾逐松風遠。香隨宿靄飛。玄談忘去路。寒角莫催歸。</text>
<title>臨亭卽事 三首</title>,<text>俯壑身如翼。憑天眼欲迷。登臨終日興。取醉不辭泥。生晩丁多事。風塵四十年。武陵何必問。東海在門前。郵亭日欲落。望望客來遲。如何遽伯玉。五十始知非。</text>
<title>有懷口占</title>,<text>險涉千層浪。須知唾自乾。橫來如直受。煩惱卽閒安。</text>
<title>偶吟 二首</title>,<text>落日半遙岑。寒鴉號北林。松窓驚困睡。抱膝獨長吟。世亂身何暇。頭邊雪更侵。誰知蔀屋下。獨抱戀君心。</text>
<title>舟行抵彌串</title>,<text>博望那可擬。定遠愧非儔。鯨海楫空擊。狼烟報未休。明王思耀武。義國自同仇。係得單于頸。相將拜帝州。</text>
<title>彌串堡宴作。余先行。裁革侈靡。供帳果得如約。故以詩贈之。</title>,<text>使節星臨部。行帷駐遠坰。席柔堪當褥。墻畫擬張屛。引酌惟陶器。飯餐半海腥。朴風愜野性。非是獨淸醒。</text>
<title>登陸</title>,<text>離家已間歲。登岸始今朝。舟楫原非據。風波本自招。星槎浮日遠。雲舍望逾遙。弧矢男兒志。蕭蕭匹馬驕。</text>
<title>宿車輦館</title>,<text>客路春愁重。支床憇野亭。枕傳松壑韻。窓納雨山靑。不寐翻成趣。憂時自獨醒。甘泉音信隔。烽火可曾寧。</text>
<title>大同江泛舟</title>,<text>暇日供遊興。良辰惜物華。晴烟連野水。春色染山花。城郭江心影。樓臺月下笳。中流浮畫舫。汎汎斗牛槎。</text>
<title>黃州卽事</title>,<text>松嶺高開鎭。淸幽景足嘉。山林作城市。樓閣畫烟霞。雲裏聞鷄犬。天邊奏鼓笳。石門烟火絶。對望卽仙家。</text>
<title>憇太虛樓</title>,<text>州名如楚地。官况似蘇公。山翠凝飛閣。江霞綴遠空。淸歡宜對月。狂舞卽乘風。壬戌憑虛處。高蹤髣髴同。</text>
<title>金郊有懷 二首</title>,<text>一見情相合。誠如舊約存。忘羞墜夙操。冒雨逐征軒。枕上香雖斷。窓前履若聞。郵亭今獨上。拭淚更生痕。馹騎投郵館。遙思卄載前。縣人新面目。山水舊風烟。壁古蜂成穴。庭荒草蔓甎。斜陽聞畫角。吟罷更催鞭。</text>
<title>龍泉舘。逢李摠兵。次杜律韻。</title>,<text>客路去逾遠。行塵起晩風。一塲三夜夢。千里五雲宮。幾日參商別。如今枕席同。還將抵兒字。憑送洛城中。</text>
<title>鳳山館感古。次杜律韻。</title>,<text>吏隱堂猶舊。如何無故人。羈愁偏甚夜。庭樹獨欣春。頑俗皆知化。愚民亦至神。踈慵無適用。何恨困風塵。</text>
<title>浮碧樓。次杜律韻。</title>,<text>住馬登浮碧。江天日正斜。窓虛含遠岫。潮去露平沙。古寺傳寒磬。危巖雜暮花。箕都名勝地。今古一長嗟。</text>
<title>嘉平館</title>,<text>星行將到館。門外吏成羣。簷短風掀戶。天低樹隱雲。路隨山勢轉。江割地形分。佳節當今夕。懸燈強勸醺。</text>
<title>劒山城</title>,<text>地形成積石。天勢壓尖山。城繞霧雲外。樓橫牛斗間。鳥飛猶阻道。猿度亦愁攀。控扼關門壯。何難破伯顔。</text>
<title>望海亭。次杜律韻二首。</title>,<text>北岸移舟泊。晩登望海亭。驚波萬里白。遠岫一眉靑。細柳垂來久。皇華問幾經。我無三百誦。關外忝爲星。風光呈萬態。朝暮變陰暉。怒濤驚商舶。霞蒸濕客衣。丹崖臨浦立。白鳥帶烟歸。世念都消遣。如將羽化飛。</text>
<title>陪天使 三首</title>,<text>仙槎待不至。落日眼寒時。風靜帆無效。天長棹更遲。懸旗報遠近。脩路役公私。儐使誠何事。明窓只詠詩。斜陽已度嶺。羣壑倐藏暉。帶月鴻何處。候霜信不違。西來時屢換。南望眼長微。江漢猶千里。空敎夢獨歸。春盡仍經夏。歡娛問幾時。新凉來旣早。遊子去何遲。夢逐歸鴻遠。心緣暮角悲。年光催客裏。雙鬢白如絲。</text>
<title>望龍灣作</title>,<text>驕虜平何日。頻年未解兵。只知吹虺毒。寧識畏皇明。落日凄龍窟。寒烟慘馬城。孤臣坐海島。瞻想淚縱橫。</text>
<title>次張翠崖閱波亭韻</title>,<text>危磴縈回處。臨江百尺亭。波光侵戶白。山色入簾靑。鳧鴈翔還集。魚龍隱復形。憑欄沉詠久。寒日下烟汀。</text>
<title>次翠厓韻。題成川降仙樓二首。</title>,<text>早發江東縣。成都向晩尋。水回源更遠。山轉路逾深。畫閣連天起。朝雲入戶侵。陽臺夢初罷。斜月半遙岑。千載東明迹。誰言杳莫尋。館留仙馭過。江匝古臺深。天柱雲猶鎖。蓬萊月尙侵。客來仍賞雪。軒外攢銀岑。</text>
