<title>馬上偶吟</title>,<text>複嶺猶含雪。春風未破寒。崎嶇馬蹄澁。吟興未全閑。</text>
<title>途傍。住馬暫憇。</title>,<text>繫馬道邊樹。閒吟枕石根。潺湲氷底水。還似慰慇懃。</text>
<title>松巖待月</title>,<text>待月坐松石。山高月上遲。水天混不辨。魚躍聽聲知。</text>
<title>贈表兄</title>,<text>湖海相逢日。天時屬早秋。三杯傾濁酒。一笑破牢愁。草樹田園靜。烟霞磵谷 一作水石 幽。方知人世外。眞樂自悠悠。</text>
<title>送崔而栗令公赴耽羅</title>,<text>旄鉞靑冥下。樓船碧海通。穹鯢避正直。峒獠讋威風。歲月萍蓬裏。乾坤感慨中。衰慵若爲別。分手莫怱怱。其二弱水浮無極。挐山天外孤。祥光南斗近。爽氣北風俱。忠信人先伏。神明理所扶。不虞治報日。薏苡化明珠。</text>
<title>題申聖時隱谷草堂</title>,<text>主人幽棲築。寒泉帶草堂。林風吹蕙幌。山鳥下書床。絶壁流雲氣。方塘受月光。地偏心自遠。吾道在修藏。</text>
<title>要路院</title>,<text>大野黃雲合。羣巒碧樹稠。僻村民氣樂。空院鳥聲幽。歲月催征道。風光摠客愁。百年無盡事。借問幾時休。</text>
<title>堤縣西十許里。有一勝處。溪水穿石成坎。形如圓井。盈科而後。瀉出成瀑。余往賞。名以天井巖。因口呼一律。</title>,<text>石井瀉長瀑。山光擁巑岏。驚雷動白日。噴玉灑林端。靜坐淸心境。閒吟岸鶡冠。翛然興不盡。忘却夕暉殘。</text>
<title>九日林池卽事</title>,<text>重陽幽約在。攜酒訪林池。哀壑秋光老。晴沙鴈影隨。日斜霞綺散。風動釣船移。手弄黃花飮。無端興入詩。其二九日林池上。秋風景色多。霜淸楓落葉。露浥菊垂花。鳧鷺沿渚戱。兒童皷枻歌。含杯酬令節。高興滿山阿。</text>
<title>自堤川乘舟向京</title>,<text>再度入堤峽。今朝復出秦。空悲失路客。不見問津人。江漢歸舟逈。雲山別夢頻。故園知漸近。惟喜對朋親。</text>
<title>舟泊驪江</title>,<text>歸舟向京洛。暮泊驪江頭。星月三更夜。風雲萬里秋。山河非世態。天地任吾憂。牢落旅遊倦。長吟倚柁樓。其二秋色滿天地。移舟泛碧漪。幽憂從此豁。詩興逐時宜。樓閣淸心壯。烟霞甓寺奇。玆遊天與借。吾道不須疑。</text>
