<title>醉贈仲初</title>,<text>靑山逢故人。野店梅花發。相携勸一盃。莫報樽中渴。</text>
<title>書藥師丈室</title>,<text>蕭然方丈凈。凉月暎踈松。客枕初圓夢。驚回半夜鍾。</text>
<title>與安習之飮斷橋下。走筆贈之。</title>,<text>沙邊人半醉。江上月黃昏。悠悠橋下水。千里去無垠。</text>
<title>贈季宜</title>,<text>塞外三年別。相逢不可期。梅花一樽酒。携手話深思。</text>
<title>別慶林君</title>,<text>誰言丈夫淚。不洒別離時。與子將分手。班班自滴巵。</text>
<title>詠梅</title>,<text>南國人初別。梅花發故林。欲傳千里信。迢遆暮雲深。</text>
<title>遊山呼韻</title>,<text>雲間山一簪。風泛花千點。乘醉兩相忘。莫言無拘檢。</text>
<title>我太祖大王平阿只拔都于雲峯。回軍時。率從事官鄭圃隱諸公。登全州萬景臺。置酒高會。都事周博。先吟此事。因次其韻。</title>,<text>雷震征倭後。龍旗指故家。登臨歌凱意。孰與大風多。</text>
<title>次東巖韻</title>,<text>秋風一短筇。來自頭流寺。胸次淡無塵。皎如珠在水。</text>
<title>將別歌兒文容。呼韻戱書歌扇。</title>,<text>翠袖顔如玉。含愁倚脩竹。臨分膓欲斷。莫唱陽關曲。</text>
<title>杜鵑</title>,<text>月黑前山雨。更深謝豹啼。聲聲訴幽㤪。歸思錦江西。</text>
<title>贈太幸上人</title>,<text>碧眼雲邊衲。扶筇乞贈詩。滿衣山翠濕。玄理定深思。</text>
<title>臨漢江有感</title>,<text>綠暖春江水。萋萋岸草新。淩波無檜楫。愁殺渡頭人。</text>
<title>丁丑三月十六日。出遊家後碧川山勝殿峰。偶成。</title>,<text>暫憇靑山下。山花映碧巖。東風知客意。吹蘂點春衫。松間伏一巖。有如龜出曝。堅姿亦好奇。欲遣花藏六。偶然乘晴暉。閑隨蝴蝶出。花開正滿林。不煩殷七七。白水滿春畦。農夫方擧趾。莫嫌來饁貧。雨後山蔬美。千重海上山。大地鍾神秀。安得驂飛鸞。餐霞延永壽。睡餘乘興遊。快陟峯靑卓。微物亦自閑。山鷄鳴角角。缾傾詩亦成。日向西岑沒。戀戀起還休。松風韻琴瑟。</text>
<title>光州客舍墻下。黃白兩種菊。枝葉半枯。有感於心。因詠三絶。</title>,<text>數朶蕭踈菊。霜摧正可悲。未成佳節會。空待隔年期。可憐菊何晩。花吐隕霜時。憔悴空庭畔。誰將泛酒巵。絶代佳人在。霜風玉色寒。音書千里隔。獨立淚痕乾。</text>
<title>戱贈趙士強</title>,<text>孌彼孤蘭草。含香倚小園。却愁風擺蘂。膓斷立黃昏。</text>
<title>雪中遇客</title>,<text>寒風吹小雪。日暮客初來。綠酒頻相勸。離懷得好開。</text>
<title>次河西韻書澹俊詩軸</title>,<text>住筇幽石罅。鳴磬冷杉風。汲水和松葉。敲氷小澗中。</text>
<title>坐新倉院樓。觀江浪。</title>,<text>樓下長江水。悠悠萬古流。險分南北岸。誰作濟川舟。</text>
<title>丁亥臘月。大風吹動衙竹。夜半聞鴨烏驚鳴。有感而作。是年。有仙山損竹倭變。民間騷動。故云爾。</title>,<text>風打空園竹。羣烏半夜鳴。捶巢驚不定。人鳥一般情。</text>
<title>遊松京滿月臺</title>,<text>毁瓦頹垣沒草萊。前朝遺跡但空臺。靑山欝欝含愁態。落日松風韻自哀。</text>
<title>登大蔚嶺。權秀才應衡呼韻。</title>,<text>身世如今偶得閑。短筇徐步上孱顔。松杉躑躅交相映。紅綠千層暮靄間。</text>
<title>過楚山。避小雨。登任佑樓。</title>,<text>古逕連雲入翠微。荒園無主草蘺蘺。畫樓空壁題詩罷。細雨閑花落半池。</text>
<title>書內藏山千佛殿</title>,<text>木末飛簷碧瓦齊。手携筇竹上丹梯。登臨正値春將晩。山杏花殘好鳥啼。</text>
<title>重陽題板橋院</title>,<text>旅窓今日是重陽。蘺菊凌霜滿意黃。不見白衣人送酒。臨風空嗅去年香。</text>
<title>詠綾城庭梅</title>,<text>官梅消息雪中回。剛被霜欺半未開。欲寄江南千里信。美人何處暮雲堆。</text>
<title>暮宿尹漪文容小齋。因題壁上。</title>,<text>水回蘺落山圍屋。蒼翠蕭踈墻外竹。日暮來投問主人。小亭飮罷同衾宿。</text>
<title>題丈室壁</title>,<text>方丈蕭然宿霧濃。鞋留軒面壁橫筇。孤衾客子眠難穩。又被沙彌半夜鍾。巖扉無逕白烟封。警露禽栖屋角松。霛籟爽然神骨冷。喚醒仙夢五更鍾。</text>
<title>白菊微有紅色者。世之好事者。謂之醉楊妑。故戱書一絶。</title>,<text>粉面微生茜暈紅。楊妑初醉倚東風。莫將顔色輕相比。獨秀冰霜便不同。</text>
<title>題富安民居屋壁</title>,<text>蕭踈殘菊小窓邊。裛露金葩絶可憐。萬卉緫隨春氣暖。霜風何獨弄嬋娟。一朶孤芳衆苴中。淸香猶自細隨風。貞心不被嚴霜改。憔悴醒吟澤畔翁。</text>
<title>戱題 時聞礪倅被論</title>,<text>塵世功名一夢中。倘來還去絮隨風。傍人且莫論榮悴。自視浮雲過太空。</text>
<title>奉次思菴相公韻。題澹俊詩軸。</title>,<text>休糧古竇掩松扉。草沒苔深石逕微。閉眼觀心長入定。只遵淸凈戒無違。</text>
<title>丁浩然折寄梅花一枝。喜贈一絶。</title>,<text>溪頭立馬日西時。忽送江南第一枝。不語從知高士意。故敎催却老夫詩。</text>
<title>維摩寺下紙幕村邊。與李士靜，士武。放鷹酌酒。將別。因贈一絶。</title>,<text>一帶烟霞萬壑深。數家鷄犬碧溪潯。呼鷹煑酒山將晩。歸路霏霏雪滿林。</text>
<title>奉贈張上舍叔鸞</title>,<text>乳燕聲中春已歸。日長庭院落花飛。門前裊裊楊枝嫰。酒熟壚頭可典衣。</text>
<title>贈宋文約</title>,<text>靑燈半壁夜三更。尊酒相逢十載情。別後思君應悵望。月明歸夢繞江城。</text>
<title>臨別贈佳人</title>,<text>竹葉淸香金叵羅。佳人高唱渭城歌。靑衫莫摻纖纖手。征馬怱怱奈爾何。</text>
<title>贈宋國徵宗献</title>,<text>小雨霏霏濕不晴。杏花含笑正輕盈。東風多事吹盃灧。啼鳥重添惜別情。</text>
<title>金公應寅。好彈伽倻琴。倩妙手兼畫霜竹。請余題詩。因贈一絶。</title>,<text>伽倻琴韻玉琅然。金鴈聯飛十二絃。荷服仙人彈別鶴。風驚湘竹月流天。</text>
<title>全州南亭。贈邊季珍，安雲卿。</title>,<text>千疊銀山一帶溪。片雲喬木斷橋西。歸鴉莫引殘霞去。留待詞人醉墨題。</text>
<title>送鄭太守復始</title>,<text>關樹蒼蒼雪滿程。一尊遙餞送君行。雲山信是無情物。謾隔愁人望眼橫。</text>
<title>奉送金募官種得地</title>,<text>東閣官梅欲落時。那知今日送君歸。迢迢長路風烟外。不耐臨歧折柳枝。</text>
<title>奉別羅州牧使金公誠一</title>,<text>椽燭高花半欲摧。中宵離恨共傾盃。從今湖嶺分千里。遠信須傳驛使梅。</text>
<title>江西寺。別洛浦仙。</title>,<text>飄然輕曳白霓裳。羅襪生塵步步香。解佩西風忽飛去。碧天無際海茫茫。</text>
<title>途中偶吟</title>,<text>匹馬行穿翠密岡。鶴邊淸露滴歸裝。炊烟起處漁家近。知是江村擘蠏黃。</text>
<title>暮春偶吟</title>,<text>高軒晴日燕呢喃。岸幘長吟酒半酣。風伯不知春易老。更吹花雨落毿毿。</text>
<title>偶吟</title>,<text>南國佳人淡掃粧。天寒日暮倚脩篁。千金不肯輕回笑。坐失嬋娟鬢已霜。</text>
<title>萬淵途中偶吟</title>,<text>孤翠尖峯擢玉簪。潺湲溪水作鳴琴。蕭蕭霜葉迷行逕。何處昏鍾送遠音。</text>
<title>偶吟</title>,<text>莊生猶未脫童觀。鵬鷃何殊辨兩般。螻蟻王侯無大小。悠悠皆是夢邯鄲。水碧山靑一小村。仙娥愁黛立黃昏。相逢渾似陽臺夢。回首寒雲政斷魂。</text>
<title>漫浪吟</title>,<text>張大秋毫小泰山。雄豪奇辨駭人寰。細思不是恢諧說。萬物齊來捴一般。</text>
<title>戱吟</title>,<text>一條官路直如絃。楊柳依依拂翠烟。斜依碧窓人似玉。爲誰凝㤪落花前。</text>
<title>咏梅</title>,<text>半出踈蘺一樹梅。風飄殘蘂點蒼苔。吾衰未索巡簷笑。芳信無端病裏催。</text>
<title>咏金錢花</title>,<text>綽約仙姝出翠幃。茜紅微染越羅衣。佳期迢遞含殘淚。瘦盡纖腰玉一圍。</text>
<title>詠橘</title>,<text>千頭要利鄙龍陽。頌德長思楚國香。蒼海南涯秋正晩。新霜籬落滿林黃。</text>
<title>詠蜂</title>,<text>尋却千芳與萬花。從知天賦性繁華。喜遊晴日無窮好。莫近黃昏燭影斜。飛蜂從古酷憐花。自是天機不是奢。旣有風流兼有智。美渠成蜜識公衙。</text>
<title>詠帶雪蒼松</title>,<text>盤屈枝柯不受寒。蒼鬚粘雪儘奇觀。遙瞻凜凜神猶竦。可笑秦皇謾贈官。</text>
<title>詠成均館雪栢</title>,<text>魁屹輪囷百尺身。虬枝雲葉幾經春。霜粘雪打鬚眉白。彷彿餐氊北海人。</text>
<title>詠和順東軒梅竹</title>,<text>霜侵脩竹不能摧。翠葉蕭蕭暎酒盃。助發風神知有伴。屋簷淸瘦立寒梅。</text>
<title>風流嶺。吟得一絶。</title>,<text>細路盤紆轉石稜。山花紅暎碧層層。良辰勝地眞堪賞。其奈嚴程住未能。</text>
<title>擧義兵日。賦一絶。</title>,<text>非石貞心不可轉。八風吹動豈曾知。勤王一紙能搖得。悲涕雙垂擧義旗。</text>
<title>己卯三月三日。余以博士。代讀課試試卷。罷後過梨峴。見含春苑落花亂飛。因賦二絶。</title>,<text>王城佳節値重三。衙罷歸來酒半酣。多事好風吹禁苑。馬頭花雨落毿毿。輕風遲日正春三。街柳宮花雨意酣。滿地韶華驚客眼。歸心飛渡錦江南。</text>
<title>拜孝陵有感</title>,<text>山木蒼蒼日欲西。古陵春草綠萋萋。幽禽亦恨仙遊遠。却向東風盡意啼。</text>
<title>卸鞍憇於南原番巖。吟得一絶。</title>,<text>山光如黛水如藍。老樹蒼蒼鎖翠嵐。一陣東風微雨歇。杜鵑花發暎千巖。</text>
<title>丙子冬。以都會試官。往靈光。佛甲寺聞鍾。</title>,<text>山回水繞幾重重。信馬行穿翠靄濃。郵卒不須疑去路。隔林風送數聲鍾。</text>
<title>祭於宣陵。漢江舟上。口占二絶。</title>,<text>兩岸和風烟柳斜。春波淡淡漾靑羅。孤舟日暮廣陵渡。芳草王孫歸思多。斜陽古渡放輕舟。蘆芛蔞蒿綠滿洲。安得垂綸江上石。忘機終日伴沙鷗。</text>
<title>馬上口呼</title>,<text>海天空濶杳茫茫。一片孤帆帶夕陽。半醉閑吟驢背上。風烟收拾付奚囊。</text>
<title>在京師。憶家山春興。</title>,<text>斗升山北小溪邊。躑躅千層照海天。遙憶昔年春欲暮。幾回泥醉倚巖眠。</text>
<title>萬日寺雪中。與南敬甫唱酬。</title>,<text>釀雪愁雲萬里陰。獨尋蕭寺翠微深。看君下筆如翻水。何羨區區擊鉢吟。凍雲迢遞結層陰。雪擁歸程一尺深。驢背尋詩有政聳。玉峰多事入孤吟。</text>
<title>崔蔚山慶長。酒酣呼韻。因爲走筆。</title>,<text>和風吹入曲欄頭。烟柳依依拂畫樓。㶑灧銀盃須滿酌。此生猶賴酒消愁。</text>
<title>觀棊</title>,<text>手談終日不相談。坐隱誰知似隱庵。尺許紋楸分楚越。紛紛蠻觸戰方酣。</text>
<title>孝陵聞杜鵑</title>,<text>半輪殘月掛林西。山杏花邊謝豹啼。崖竹欲摧聲轉苦。夢回凉夜自凄凄。</text>
<title>蘇來寺。夜雨聞鹿鳴。</title>,<text>金風吹葉響颼飀。宿客無眠倚小樓。最是此間奇勝事。枕邊山雨鹿呦呦。</text>
<title>聞大駕幸平壤</title>,<text>三千里外一孤臣。悵望關西淚洒巾。驛路多虞豺虎亂。何人能扈屬車塵。</text>
<title>過梨峴。聞含春苑鶯啼。有感。</title>,<text>楊花如雪洒天街。雨後晴光上綠槐。忽送去年林下語。故園歸思繞南涯。</text>
<title>長城客舘。聞子䂓。</title>,<text>半輪殘月掛西林。倦客憑欄政苦吟。何事蜀禽千載恨。空山啼血送哀音。</text>
<title>次濟南亭韻</title>,<text>朱欄橫壓碧溪深。綠樹風來爽氣侵。極目蒼茫平野遠。片雲歸烏入孤吟。</text>
<title>奉次天將王指揮大顯韻</title>,<text>燕薊三韓道路長。關河烟霧杳蒼蒼。書生只祝皇威震。將士歌回鴨綠陽。煌煌斧鉞下天庭。遠救東方億萬生。我願將軍布八陣。建牙雷皷破倭營。</text>
<title>次天兵退休韻</title>,<text>天皇赫怒東夷叛。㫌旆飛揚萬里來。若掃黃塵淸海角。英姿應得畫雲臺。</text>
