<title>奉和御製</title>,<text>創垂固不易。持守尤爲難。幸際明良會。都兪莫暫閒。</text>
<title>奉和御製 其二</title>,<text>天道體無私。民心思不拂。願言保終始。萬世如一日。</text>
<title>奉和御製 其三</title>,<text>經綸同漢祖。制作侔周成。上下地天泰。太平家國寧。官班何者冗。士馬貴乎精。</text>
<title>己丑應制</title>,<text>老瞞何罪劉亦衰。若遇高光當面北。智秦愚虞百里奚。裵矩佞隋忠唐室。自非貞忠亦正臣。只在駕馭得其術。臣聞昔有虬鬚翁。晉陽有人失其局。又聞五季陳圖南。趙祖登極隱不出。治世姦雄猶未逞。况非英雄秖就滅。念我世祖應運興。能推赤心置人腹。顚倒豪傑網羣雄。風雲慶會無前昔。方今聖上嗣丕基。克定姦賊同朽拉。廷臣孰不盡心力。願言萬世如一日。</text>
<title>扈幸喜雨亭應制</title>,<text>都城之西喜雨亭。亭在楊花之江邊。行宮此日駐翠華。政是大野春風天。成公扈從仍校讎。得與王子同周旋。今夕何夕月如晝。長江滾滾趍海堧。大君樂此開小酌。仙橘又從天上傳。才子任公亦在坐。不必對影成三賢。一杯一杯復一杯。擧杯還作臨江仙。我不羨坡公赤壁遊。斷岸千尺窮攀緣。又不關采石江頭李太白。錦袍捉月江底懸。只欲挹彼萬丈之滄波。倒漾睿澤浸荒田。又欲取玉兔之靈藥。使我聖筭踰千年。嗚呼水長流月長在。江上萬古淸風吹颯然。</text>
<title>次天使金湜到松京遇雨韻</title>,<text>前朝文物草連城。星使遙臨吊廢京。舊業已隨陵谷變。遺風猶記管絃淸。但將呼酒留連飮。且可搜詩取次成。甘澍忽隨天詔至。皇恩偏向海隅傾。</text>
<title>廣寒樓</title>,<text>良辰持節上高樓。進步方知百尺頭。萬里關河秋正好。一軒風月意難收。聖朝未報宵衣理。故國還爲晝錦遊。王事有程情不盡。此時不飮更何求。</text>
<title>廣寒樓 其二</title>,<text>方丈峯高萬丈橫。中天月色正分明。幾多豪傑登臨詠。檻外唯餘一水聲。</text>
<title>智異山</title>,<text>智異蒼蒼倚半空。千巖萬壑灑飛淙。洞中靑鶴應欺我。胡不來聞岳寺鐘。</text>
<title>登南原蛟龍山城</title>,<text>邑在湖南山水間。孤城屹屹路回盤。帶方自是雄藩地。控扼猶能制八蠻。</text>
<title>華陽亭</title>,<text>乘閒信馬出紅塵。極目郊原物象新。天外遠山靑似黛。雨餘芳草碧如茵。倉庚上下鳴初日。牛馬紛披散四垠。惆悵煙花三月暮。不妨呼酒賞良辰。</text>
<title>金浦趙元禧村居</title>,<text>城西金浦是君居。高卧于今興有餘。地接高陽應有酒。江連漢水豈無魚。胷中空抱醫民術。案上閒披敎子書。卜築通津吾有意。一壺來訪故人廬。</text>
<title>訥齋偶吟</title>,<text>昨夜秋風至。行人借帆歸。如何待漏院。霜靴火城圍。</text>
<title>次忘世亭韻</title>,<text>十年宦海笑歸來。半世朋知許酒杯。春去殘花飛滿榻。雨過垂柳拂侵臺。風塵白髮功名薄。朝暮靑山醉夢廻。此老心情誰獨識。滄波鷗鳥不須猜。</text>
<title>次四佳徐相國慰贈閒退通津韻</title>,<text>北樹東雲幾夢思。此心惟有故人知。轉頭時序留難駐。撫臂英雄老可悲。無藥引年聊自適。有錢沽酒復何疑。衰遲會合誰知健。少壯歡娛憶舊時。</text>
<title>應制書車雲巖 原頫 雪寃錄後</title>,<text>巍巍星斗仰公名。一世皆知哲者情。如何恐怯三四達。不修公道護私程。</text>
<title>次咏小魚</title>,<text>雨餘江上綠生鱗。同隊洋洋泳白蘋。想得盆池喣沫處。涪翁經濟本斯民。</text>
<title>左議政權擥，中樞院事崔恒，僉知中樞院事梁誠之。攷實錄於春秋館。賜酒樂節花。仍賜御製詩。按此篇出列聖御製。世祖九年癸未歲也。</title>,<text>確強何求大畜外。俗文浩積何足數。元勳適與羣臣聚。本有源泉又霑雨。祈然縱杯當盛春。頹賞甁花不有愈。</text>
<title>大浦谷木鴈亭八景徐居正 北岡靑松</title>,<text>北山靑翠四時同。聳壑昂霄意未窮。爲有好風吹不斷。海濤聲在半空中。</text>
<title>大浦谷木鴈亭八景徐居正 南海諸島</title>,<text>日出雲消島嶼開。鵶鬟點點翠成堆。此間定有蓬壺在。鰲戴神山跨海來。</text>
<title>大浦谷木鴈亭八景徐居正 東望三峯</title>,<text>三峯高揷玉芙蓉。地闢天成造化工。渺渺江湖思魏闕。蓬萊殿閣五雲中。</text>
<title>大浦谷木鴈亭八景徐居正 西拱江都</title>,<text>摩尼山聳碧雲端。知有三淸古石壇。頗識閒居塵事少。黃庭讀罷禮星官。</text>
