id	제목	제안분류	확신도	구간정밀도	근거	비고
P04373	遠征行	애상(sympathy)	43	27%	term	악부/제영(확신↓)
P04374	鴻雁吟。二篇。	애상(sympathy)	49	27%	term	
P04375	鴻雁吟。二篇。 其二	애상(sympathy)	61	52%	term	
P04376	梁文驛敬簡峒隱李 義建 直長 時住永平白雲山中	유람(travel)	60	52%	title, term	
P04377	金化柏谷謁車明宰	계절(season)	46	27%	term	
P04378	九月九日。題金城館。	도화(picture)	54	38%	title	
P04379	金城苞桑閣。謹次車明宰韻。公爲縣令時。重建客館。扁曰苞桑閣。蓋以新經壬辰海賊兵火故。用寓其亡可保之義也。	건물(structure)	53	38%	title	
P04380	重陽宿昌道驛	유람(travel)	83	94%	title	
P04381	九月十五日。永興許使君 筬 衙軒作。	애상(sympathy)	48	27%	term	
P04382	許明府衙軒。菊花盛開。乃公手植。蔭以白茅。使不爲風日霜露所悴傷也。卽席命賦。率書以呈。	기증(donate)	97	94%	title	
P04383	咸興府作	계절(season)	52	38%	term	
P04384	咸關嶺	천문(astro)	25	16%	term	
P04385	洪原縣	애상(sympathy)	41	27%	term	
P04386	北靑府	회고(reminiscence)	43	27%	term	
P04387	利城縣	변새(frontier)	40	27%	term	
P04388	端川館。敬次圃隱先生韻。	애상(sympathy)	58	38%	term	
P04389	磨天嶺	산악(mountain)	43	27%	term	
P04390	嶺東館	애상(sympathy)	44	27%	term	
P04391	嶺東館 其二	변새(frontier)	39	14%	term	
P04392	嶺東館 其三	애상(sympathy)	41	27%	term	
P04393	臨溟館	애상(sympathy)	44	27%	term	
P04394	酬別李正郞 春英 實之	송별(farewell)	97	94%	title	
P04395	酬別李正郞 春英 實之 附元韻	송별(farewell)	82	94%	title, term	
P04396	吉州途中	유람(travel)	93	94%	title	
P04397	吉州途中 附次韻	유람(travel)	96	94%	title	
P04398	雲委院	애상(sympathy)	47	27%	term	
P04399	輸城館。謹次故東萊宋府使 象賢 韻。	애상(sympathy)	43	27%	term	
P04400	輸城館。謹次故東萊宋府使 象賢 韻。 其二	건물(structure)	53	38%	title	
P04401	輸城途中	유람(travel)	95	94%	title	
P04402	雲頭城	애상(sympathy)	44	27%	term	
P04403	觀宴蕃胡	변새(frontier)	41	27%	term	
P04404	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。	유람(travel)	85	94%	title	
P04405	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其二	유람(travel)	78	82%	title	
P04406	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其三	유람(travel)	80	94%	title	
P04407	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其四	유람(travel)	80	94%	title	
P04408	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其五	유람(travel)	89	94%	title	
P04409	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其六	유람(travel)	81	94%	title	
P04410	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其七	유람(travel)	87	94%	title	
P04411	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其八	유람(travel)	82	94%	title	
P04412	奉陪李節度使 守一 北巡邊城。而作近體九首。十月十一日。發會寧府。二十四日。到慶興府。 其九	유람(travel)	62	52%	title	
P04413	幕府述懷 二十二韻	변새(frontier)	56	38%	term	
P04414	從軍行 三首	애상(sympathy)	51	38%	term	
P04415	從軍行 三首 其二	유람(travel)	66	52%	title	
P04416	從軍行 三首 其三	유람(travel)	59	38%	title	
P04417	安原途中	유람(travel)	86	94%	title	
P04418	題撫夷堡	도화(picture)	55	38%	title	
P04419	擬古從軍五更轉	변새(frontier)	64	52%	term	
P04420	擬古從軍五更轉 其二	변새(frontier)	38	14%	term	
P04421	擬古從軍五更轉 其三	애상(sympathy)	46	27%	term	
P04422	擬古從軍五更轉 其四	변새(frontier)	60	52%	term	
P04423	擬古從軍五更轉 其五	변새(frontier)	50	38%	term	
P04424	月夜聞笛。題會寧南樓。	도화(picture)	59	38%	title	
P04425	出塞曲	변새(frontier)	75	82%	title, term	악부/제영(확신↓)
P04426	入塞曲	변새(frontier)	46	27%	term	악부/제영(확신↓)
P04427	豆滿江歌。爲節度使李令公作。	변새(frontier)	69	52%	term	
P04428	北門行	애상(sympathy)	41	27%	term	악부/제영(확신↓)
