<title>詠月 壬子</title>,<text>月出扶桑東。淸光四海同。長風吹不盡。頃刻到天中。</text>
<title>泰仁邑內。有喬木亭。其陰可避暑。陪家大人散步。呼韻命賦。戊午</title>,<text>偶來綠陰下。高卧一亭凉。老葉含秋意。踈枝逗夕陽。風生不盡韻。天許自然長。廊廟他年具。山童愼勿傷。</text>
<title>陪尹姊往德山。曉發新昌。馬上偶吟。</title>,<text>僮僕笑相指。伽山入眼靑。長程隨臘盡。歸意與春爭。雪積崖逾滑。沙崩路不平。晨行更有伴。孤月馬頭明。</text>
<title>奉和外舅直菴申先生贈別之詩 辛酉</title>,<text>我有百鍊膓。不作兒女悲。我有一掬淚。不灑離別時。男兒重橫行。遠道何足說。一笑出門去。西程馬前濶。東風渡薩水。朔氣忽逼人。羣巒氣麤壯。矗矗磨蒼旻。孤烽自生夕。積雪不知春。撫劒發長嘯。塞天生長虹。中原久陸沉。天下誰英䧺。</text>
<title>和鄭君惠卿 後僑 韻</title>,<text>十載長安面。重逢塞外城。天虗兼水淨。樓屹與雲平。引酒花生眼。哦詩雨助鳴。靑燈相對語。俱是異鄕情。</text>
<title>尹進士 志述 遷葬挽 代人作○甲子</title>,<text>朝排閶闔夕誅夷。聖考忠臣一布衣。截鐵斬釘操已確。刀山劒樹脚寧移。西州豪傑嗟何在。東土兒童孰不知。太學養賢三百載。賴公名節繫綱維。</text>
<title>雪 四十韻</title>,<text>按節玄冥始戒嚴。朔天寒氣振窮閻。經簷短日光逾薄。走石獰飈勢轉添。政看陰雲愁錯莫。忽聽飛雪打屛䪜。章臺柳絮飄簾幕。庾嶺梅花暎幄䄡。明月却疑臨大界。白雲還訝宿千簷。寒侵短褐肌生粟。冷逼洪爐火失炎。何處樓臺非璧璐。誰家庭院乏紈縑。光如水鏡晨先報。氣和風刀晩更銛。燕塞玉裝防虜甲。灞橋珠結覔詩髥。龍鏖北海銀鱗落。鶴盡靑田皓翮燖。天女瑤花同灼灼。露盤瓊屑共纖纖。二儀淸濁渾相合。萬壑球琳爛不撏。陣勢從天嚴組練。光明曳地壯韜鈐。茫茫遠色看生眩。簌簌寒聲聽不厭。頻驗淺深將策試。爲看踈密仰簷覘。疑驅浙水潮頭馬。怕凍重霄月裡蟾。直使乾坤同皎潔。不敎巖石露稜尖。縈回老樹翻爲桂。點綴枯叢盡作蒹。四海共欣田種玉。羣生何患食無塩。光生董子看書幌。色奪宮姬望月簾。天外羣巒靑盡變。望中千樹白全霑。周禽翯翯羞看影。越女娟娟愧對奩。伏櫪馬牛毛縮蝟。蟄林豺虎首疑箝。艇孤漁子猶貪釣。指直樵童却墮鎌。酒肉空流權宴第。生靈誰救紇干殲。孤臣虎窟悲氊齧。志士牛衣歎骨砭。寒閣杯乾樽倒綠。冷厨烟斷堗難黔。南陽大夢人先覺。淮蔡神兵賊自熸。秦嶺征驂愁不進。白樓勝事果誰兼。剡溪小棹乘淸興。魏國離宮聳壯瞻。懸磬寒愁生白屋。換龜高價踴靑帘。祥呈宿麥連雲熟。麪擬明春大捥占。試把彩毫頭似箒。欲哦新句口含鉗。履穿東郭元多事。門閉袁安雅尙恬。塵外生涯安澹泊。世間興味飽酸甜。中宵白氣身邊劒。萬古閑情架上籤。大霧深山方豹隱。疾雷何日起龍潛。千間大庇心常切。環堵蕭條意不嫌。逸韻欲追南客操。淸吟隨命筆奴拈。眼前物色添詩興。不覺溪藤數幅粘。</text>
<title>新春偶吟 乙丑</title>,<text>重陰初劈歲華新。一氣無私萬物春。欲借陽和多少澤。乾坤遍沐太平人。</text>
<title>上元。與舍弟同賦。</title>,<text>纖雲收盡月上天。三五淸光滿意圓。何處樓臺深夜裡。拜新兒女惜芳年。其二長橋踏遍二更天。頭上氷輪十分圓。共喜太平還有象。滿城歌管勝前年。</text>
<title>交河道中</title>,<text>微雨絲絲不肯休。客程終日聽鳴鳩。烟深暝樹迷如夢。天濶遙岑直欲浮。花氣襲人渾漠漠。春光與我共悠悠。今行頓覺羇愁减。馬上吟詩更自酬。</text>
<title>次戚從叔姜美叔 柱完 韻</title>,<text>雪壓平林夜色遅。小牎幽意一簾垂。陳編數卷無窮味。月落參橫獨坐時。其二九轉還丹歲月遅。巖阿桂樹雪垂垂。天心半夜陽雷動。政是寒梅欲發時。</text>
<title>晩春有事先壠。往沙川途中偶吟。丙寅</title>,<text>閏月春光便未衰。暖風晴旭更相宜。烟郊得意禽交語。麥壠無人雉忽飛。菜葉時飄近村水。桃花自發出籬枝。平蕪十里征驂倦。盡日垂鞭獨咏詩。</text>
<title>上白雲山</title>,<text>一笑蒼顔慣舊容。滿林啼鳥引閑筇。濃雲不辨遠山樹。細雨飛來何處峰。茆葉披離知過虎。藤枝蟉屈欲成龍。東岡固守眞高計。堪笑長安趁曉鍾。</text>
<title>山齋卽事</title>,<text>山鳥時時哢。庭花續續開。峽深春不暮。天逈月徐來。獨步聊牽興。新詩不受催。他年林壑志。留約白雲隈。</text>
