시_원문,,A,B,C,C_근거,D,D_근거,인간 평가 A,인간 평가 B,인간 평가 C,인간 평가 D,인간 평가 E
三載龍荒據玉鞍客情那得易爲寬歸田未決封侯晩海驛斜陽倦倚?,,1,1,1,"이 시는 변방의 황량한 땅을 뜻하는 '용황(龍荒)'에서 세 해 동안 말안장(玉鞍)에 의지해 지낸 군인의 고달픈 삶을 읊고 있습니다. 또한 무공을 세워 제후로 봉해지기를 바랐으나(封侯) 뜻을 이루지 못하고 고향으로 돌아가지도 못하는(歸田未決) 종군(從軍)의 고충과 회한을 다루고 있으며, 외딴 역참(海驛)에서 느끼는 쓸쓸함을 토로하고 있으므로 변새시(邊塞詩)의 전형적인 특징을 모두 갖추고 있습니다.",1,"龍荒(변방 황무지), 據玉鞍(말 안장에 오름), 封侯(공을 세워 제후에 봉해짐) 등의 시어를 통해 변방에서의 군사적 복무와 그로 인한 고단함, 고향으로 돌아가지 못하는 심경을 묘사하고 있음.",1,1,1,,
斗酒臨長道相看脈脈時吾?俱晩境此別已堪悲大野春風轉孤城夕照移悤悤南又北雲鶴易參差,,1,1,0,"제시된 시는 먼 길을 떠나는 벗과의 이별을 아쉬워하며, 인생의 황혼기에 서로 남과 북으로 헤어지는 슬픔을 노래한 전형적인 송별시(送別詩)입니다. '대야(大野)'나 '고성(孤城)' 같은 배경 묘사가 등장하지만, 이는 이별의 쓸쓸한 분위기를 고조시키기 위한 서정적 장치일 뿐입니다. 변방의 군사적 긴장감, 종군(從軍)의 고통, 혹은 북방 이민족과의 갈등 등 변새시(邊塞詩) 특유의 주제 의식이나 이국적인 변방 풍경이 나타나지 않으므로 변새시로 판별하기 어렵습니다.",0,"늙은 나이에 남북으로 길을 달리하여 헤어지는 벗과의 석별의 정을 노래한 송별시(送別詩)로, 변방의 군사적 대립이나 전쟁을 다룬 변새시가 아닙니다.",0,0,0,,
賊騎窺秦障妖星照漢宮朝廷方?食老子復臨戎住?天山北連營瀚海東安邊賴儒術衛?莫誇雄,,1,0,1,"본 작품은 변방의 군사적 긴장과 종군(從軍)을 다룬 전형적인 변새시(邊塞詩)입니다. 수련의 '賊騎窺秦障(적의 기병이 진나라 장벽을 엿보다)'과 '臨戎(전쟁터에 임하다)'을 통해 군사적 충돌 상황을 드러내고 있으며, 함련의 '天山北(천산 북쪽)'과 '瀚海東(한해 동쪽)'은 변새시의 대표적인 공간적 배경인 변방의 이국적인 국경 지대를 나타냅니다. 아울러 미련에서 한나라의 변방 정벌 영웅인 위청과 곽거병(衛?)을 언급하며 변방을 안정시키겠다는 '安邊'의 포부를 밝히고 있어 변새시의 특징을 고스란히 담고 있습니다.",1,"秦障, 天山, 瀚海 등 변방 지명과 더불어 賊騎(적의 기병), 臨戎(군대에 임함), 連營(군영을 잇달아 침), 安邊(변방을 안정시킴) 등 전쟁 및 군사적 대립과 관련된 시어를 명확히 사용함.",1,1,1,,
北路雄關是鏡城客中多少古今情黃龍一醉壯心在紅樹晩秋離恨生千里宦遊何事業數篇詩語當勳名自憐破匣餘孤劍紫氣干星夜夜明,,0,1,1,"이 작품은 조선의 북방 군사 요충지인 경성(鏡城)을 배경으로 창작된 시입니다. 첫 구에서 경성을 '북방의 웅장한 관문(北路雄關)'으로 제시하며 변방의 공간적 배경을 명시하고 있습니다. 또한 여진족 등 북방 오랑캐를 물리치겠다는 기개를 담은 '황룡(黃龍)' 고사, 먼 변방에서 벼슬살이하는 고충을 뜻하는 '천리환유(千里宦遊)', 그리고 무인의 기상과 품은 뜻을 상징하는 '고검(孤劍)'의 서기(紫氣) 등을 묘사하고 있습니다. 이는 변방의 군사적 긴장감, 고독한 정서, 그리고 호방한 기상을 담아내는 변새시(邊塞詩)의 전형적인 특징을 잘 보여줍니다.",1,"북방의 군사 요충지인 경성(鏡城)을 배경으로 변방 요새(雄關)의 풍광을 읊고, 황룡(黃龍)의 고사를 인용한 장부의 호기로운 기상(壯心), 공명(勳名)에 대한 염원, 외로운 칼(孤劍)의 군사적 이미지를 드러내고 있으므로 변새시에 부합함.",1,1,1,,
漢將長驅十萬兵?山?野鳥雲橫寒天殺氣生戈劍落日高風送?旌鐵馬不鳴軍令肅玉龍?吼凱歌聲坐看東海鯨波?更有何人敢請纓,,1,0,1,"이 작품은 십만 대군을 이끌고 출정하는 장수의 기상('漢將長驅十萬兵')과 엄숙한 군령('軍令肅'), 삼엄한 군사적 분위기('寒天殺氣生戈劍')를 묘사하고 있습니다. 나아가 외적의 침입을 상징하는 동해의 거친 파도를 평정하고 승전보를 울리는 모습('東海鯨波?', '凱歌聲')을 통해 변방의 군사적 업적과 변경의 평화를 노래하고 있으므로, 전형적인 변새시(邊塞詩)에 해당합니다.",1,"漢將, 十萬兵, 軍令, 凱歌 등 군사적 시어를 사용하여 군대의 엄숙한 군률과 장엄한 행군, 그리고 외적을 물리치고 동해를 평정하는 승리의 기세를 묘사함.",1,1,1,,
無中含萬有聲臭渺難尋動靜何端始看來體用兼,,0,0,0,"제시된 한시는 '무(無)에서 만물이 비롯되고', '동정과 정지(動靜)의 시작'을 탐구하며, '체(體)와 용(用)의 통합'을 논하는 형이상학적이고 성리학적인 주제의 철리시(哲理詩)입니다. 변방의 군사적 충돌, 이국적 풍경, 종군의 고충 등 변새시(邊塞詩) 특유의 요소가 전혀 나타나지 않습니다.",0,"우주의 무(無)와 유(유), 동정(動靜), 체용(體用) 등 성리학적·형이상학적 이치를 논하는 이학시(理學詩)로, 변방의 군사적 상황이나 요새의 풍경과는 무관함.",0,0,0,,
莽蒼空??碧??垣關路杳?嶢漏天猶制濠池溢滿月能防虜騎驕孤戍風傳疑短笛平蕪草動?長刀將軍按甲臨遼塞漠外禾畦盡綠苗,,1,0,1,"이 작품은 변방의 군사적 긴장감과 이국적인 풍경을 묘사한 전형적인 변새시(邊塞詩)입니다. 시구 중 요동의 변방을 뜻하는 '요새(遼塞)', 사막 너머를 의미하는 '막외(漠外)', 외로운 국경 초소인 '고수(孤戍)', 요새의 관문 길인 '관로(關路)' 등의 시어는 변방의 공간적 배경을 명확히 보여줍니다. 아울러 날랜 오랑캐 기병을 막아낸다는 '방로기(防虜騎)', 칼날을 두려워하는 '파장도(?長刀)', 장수가 무장을 하고 변방에 임한다는 '장군안갑(將軍按甲)' 등의 표현은 군사적 대치 상황과 종군의 긴장감을 생생하게 묘사하고 있으므로 변새시로 판별됩니다.",1,"虜騎(오랑캐 기병), 孤戍(외로운 초소), 將軍(장군), 遼塞(요동 변방) 등의 시어를 사용하여 변방 지대의 군사적 긴장감과 요새의 풍경을 사실적으로 묘사하고 있습니다.",1,1,1,,
隱隱靑山混混泉會涵虛碧繞樓前江流釵股週遭曲巒簇峯腰次第連行雨更干千里夢落霞還有一區天依?足?高唐路徒倚長風興渺然,,0,0,0,"제시된 한시는 청산(靑山), 샘물(泉), 굽이치는 강물(江流), 노을(落霞) 등 누각 주변의 아름답고 평화로운 산수(山水) 풍경을 묘사하고 있으며, '고당의 길(高唐路)'이라는 고사를 활용하여 몽환적이고 서정적인 흥취를 노래하고 있습니다. 변방의 거친 풍토, 군사적 긴장감, 전쟁이나 종군(從軍)의 고통 등 변새시(邊塞詩) 특유의 요소가 전혀 나타나지 않는 전형적인 산수시이자 누정시입니다.",0,"청산, 샘물, 강물 등의 아름다운 자연 경관을 묘사하고 고당(高唐) 고사를 활용하여 서정적인 감흥을 노래한 시로, 변방의 군사적 긴장이나 요새의 삶과는 관련이 없음.",0,0,0,,
小亭?鏡浦不與世塵通戶外層濤碧楹間出日紅皇華曾吐鳳泥雪尙留鴻此事難重見窮溟泣老翁,,0,1,0,"이 시는 강릉의 명승지인 경포(鏡浦) 인근의 정자(小亭)를 배경으로 하여, 세속과 단절된 채 동해의 아름다운 자연 풍경(푸른 파도와 일출)을 감상하고 과거 이곳을 다녀간 중국 사신(皇華)과의 문화적 교류를 회고하는 내용을 담고 있습니다. 변방의 군사적 긴장감이나 이국적인 영토의 풍경, 종군(從軍)하는 군사들의 고충 등 변새시(邊塞詩)의 전형적인 요소를 찾아볼 수 없으며, 동해안의 자연 경관을 읊고 옛일을 아쉬워하는 산수/회고시(懷古詩)에 해당하므로 변새시가 아닙니다.",0,"경포(鏡浦) 인근의 아름다운 풍광을 묘사하고 과거 사신(皇華)의 방문을 회고하는 내용으로, 변방의 군사적 대립이나 요새를 다룬 변새시가 아님.",0,0,0,,
多病那堪作此行憐君萬里客遼城邊庭日暮黃雲合古塞秋深白雁橫狐偃周流終?晉春申西入亦存荊男兒事業元無定不必臨岐愴別情,,1,1,1,"이 작품은 요성(遼城, 요동 지방)이라는 변방으로 떠나는 벗을 송별하며 지은 시로, '邊庭(변방의 뜰)', '古塞(옛 요새)', '黃雲(황색 구름)', '白雁(흰 기러기)' 등 변새시의 전형적인 공간적 배경과 이국적이고 황량한 국경 지대의 풍경을 묘사하고 있습니다. 또한 변방으로 멀리 떠나는 종군이나 객지 생활의 고독을 대장부의 기개와 포부로 승화하여 격려하는 주제를 다루고 있어 변새시의 특징을 뚜렷하게 보여줍니다.",1,"遼城(요성), 邊庭(변정), 古塞(고새) 등 변방과 요새를 뜻하는 시어가 명확히 사용되었고, 황운(黃雲)과 백안(白雁) 등 변방의 전형적인 가을 풍경을 배경으로 남장부의 호방한 기개를 노래한 변새시(송별시의 성격을 겸함)입니다.",0,1,1,,
紫洞天?秘蒼?鬼削成苔斑石老草花明斜展錦屛橫玉液滋無盡山庭滴有聲硏?點易課餘生心事不禁淸,,0,0,0,"제시된 한시는 '자동천(紫洞天)', '창애(蒼?)' 등 수려한 산수 자연의 아름다움을 묘사하고, 그 안에서 주역(易)을 공부하며 유유자적하게 살아가는 선비의 청아한 은거 생활을 노래하고 있습니다. 이는 은일(隱逸) 및 산수시(山水詩)의 전형적인 특징을 보이며, 변방의 군사적 긴장감, 이국적인 북방 풍경, 혹은 종군(從軍)의 고충을 담는 변새시(邊塞詩)의 특징은 전혀 나타나지 않습니다.",0,"아름다운 자연 속에서 은거하며 학문을 닦는 삶을 노래한 산수시로, 변방의 군사적 대립이나 국경 지대의 묘사와 무관함.",0,0,0,,
生差一歲榜同年戚誼交情兄弟然長德誰知還短世淸朝共惜失時賢湖雲?遞新旌返嶽麓荒?舊迹遷牢落乾坤吾已老忍和殘淚寫哀篇,,0,1,0,"이 작품은 과거 급제 동기(同年)이자 친척인 친구의 죽음을 슬퍼하며 지은 애도시(만시, 挽詩)입니다. 평생 형제처럼 지낸 벗의 덕망과 그의 이른 죽음(短世), 그리고 남겨진 슬픔과 눈물로 써 내려간 애도 구절(哀篇) 등이 주제를 이룹니다. 변방의 군사적 긴장감이나 이국적인 풍경, 종군의 고충 등 변새시(邊塞詩)의 특징적 요소는 전혀 나타나지 않습니다.",0,"과거 급제 동기이자 형제처럼 지내던 벗의 죽음을 슬퍼하며 지은 만시(輓詩)로, 변방의 군사적 긴장이나 국경지대의 삶과는 전혀 무관함.",0,0,0,,
劍倚靑天元帥臺斬鯨東海百川開今朝更向關山去生捕單于季父來,,0,1,1,"이 시는 조선의 명장 임경업(林慶業) 장군의 작품으로 전해지는 한시로, 전형적인 변새시(邊塞詩)의 요소를 두루 갖추고 있습니다. 시에 등장하는 '검(劍)'과 '원수대(元帥臺)'는 군사적 배경을 나타내며, 변방의 요새를 뜻하는 '관산(關山)'과 북방 유목민족의 우두머리를 가리키는 '선우(單于)' 등의 시어는 변방의 군사적 대치 상황을 직접적으로 보여줍니다. 변방으로 출정하여 적장을 생포하겠다는 웅장한 기개와 호국 의지를 노래하고 있으므로 변새시로 판별됩니다.",1,"元帥臺(원수대), 關山(관산), 單于(선우) 등의 시어를 통해 변방으로 출정하여 적을 생포하려는 장수의 기개와 군사적 의지를 묘사하고 있음.",1,1,1,,
賈傅經綸學張丞節義宗忠邪一時論非是百年公香火臨江廟精神雪嶽松山高水不盡萬古有餘風,,0,0,0,"제시된 한시는 역사적 인물의 학식(賈傅經綸學)과 충절(張丞節義宗)을 기리고, 강가 사당(臨江廟)과 설악산 소나무(雪嶽松)를 통해 그의 고결한 정신과 만고에 남을 풍모를 찬양하는 영고(詠古) 및 추모의 시입니다. 변방의 군사적 충돌, 변새 지역의 이국적 풍경, 군역의 고충 등 변새시(邊塞詩)의 전형적인 주제나 분위기와는 거리가 멀기 때문에 변새시가 아닙니다.",0,"역사적 인물의 충절과 의리를 기리는 사당(臨江廟)과 그의 영원한 정신을 예찬한 송덕·추모 시로, 변방의 군사적 대립이나 국경의 정경을 묘사한 변새시가 아닙니다.",0,0,0,,
底事催華?人生有去留不堪關北路重上驛南樓玉塞音塵絶金河日夜流看君海嶠作一半是春愁,,1,1,1,"본 시는 '관북로(關北路)', '옥새(玉塞)', '금하(金河)' 등 국경 및 변방을 상징하는 대표적인 시어들을 사용하고 있습니다. 특히 '옥새(옥문관)'와 '금하'는 변새시에서 자주 쓰이는 전형적인 배경이며, 한국 한시 맥락에서 '관북' 역시 북방 변방 지대를 의미합니다. 변방 길의 고단함, 소식이 끊긴 황량함('音塵絶') 등을 토로하고 있으므로 변새시로 판별됩니다.",1,"關北路(변방 길), 玉塞(변방 요새), 金河 등 변방(변새)을 상징하는 대표적인 시어들을 사용하여 변방으로 떠나는 송별의 정서와 변방의 쓸쓸한 풍경을 묘사하고 있음.",1,1,0,,
