<title>往拜枕澗亭壺谷先生。拈韻命賦。己巳</title>,<text>雨霽梧桐葉。風輕楊柳枝。此間有眞趣。只應知道知。</text>
<title>書軒夜題 庚午</title>,<text>小塘秋水白。空庭月影遲。獨坐靈臺靜。凝然未發時。</text>
<title>安溪書堂。贈李士謙 信祥，子克 家祥，士賢 博祥 諸人。癸酉</title>,<text>落葉溪中逕。孤烟竹外村。依依獨歸人。橋盡入衡門。</text>
<title>次趙休永 基祿 九卿池韻 二首</title>,<text>有意峯頭月。無心浪裏鷗。登臨發浩歌。風入白蘋洲。霧罷山爭倒。汀寒雨半沉。湖山如畫裏。啼送夕陽禽。</text>
<title>月夜偶吟</title>,<text>樹影蒼蒼夜氣深。天高月朗坐虛堂。吾人本性元無累。莫使塵埃翳鏡光。</text>
<title>溪流 甲戌</title>,<text>溪流自何處。淸灘聲滿耳。尋源行不息。幽興無時已。水止明如鏡。水流聲不息。閒人無外累。臨溪玩太極。</text>
<title>謁玉山體仁祠</title>,<text>細路斜穿松栢林。靑山環合洞天深。寒潭尙有中秋月。留得先生一片心。</text>
<title>淸夜吟</title>,<text>春夜寥寥萬念淸。靈臺無累湛虛明。須當靜處加持養。牛峀萌芽不日靑。</text>
<title>前臯晩日</title>,<text>靑山立立水浸磯。楊柳淸風捲我衣。巖臺獨坐沉吟久。不覺蒼茫下夕暉。</text>
<title>宿長津</title>,<text>水氛霞氣暮鴻濛。前對莾蒼大界空。鷄鳴日出乾坤曙。笑睨層濤萬里紅。</text>
<title>聞廣瀨李丈 野淳 欲移住江陵</title>,<text>眼下都無世累牽。移家欲住嶺東堧。羣囂不到眞仙界。江海秋光極望鮮。山水雲烟娛晩年。江門橋畔玉無邊。蘭舟一葉空明裏。載得心經與退篇。海嶽凌空不可攀。羣峯遙出白雲間。春晩肩輿遊絶頂。應從高處望陶山。</text>
<title>雨後遊南臯 丙子</title>,<text>春風一夜雨。處處靑山多。寒溪亦漲闊。魚子躍淸波。時余有新興。攜朋步澗阿。窅爾看天理。悠然發浩歌。</text>
<title>南溪有感</title>,<text>汀樹陰陰映夕霞。寒溪水落鋪瓊沙。長吟竟日南洲外。採盡香蘭有所思。</text>
<title>甁梅 丁丑</title>,<text>瓊枝攢玉甁。方吐臘前英。蹈海連心苦。蛻塵林骨淸。孤香片月照。絶艶雙眸驚。百匝吟看處。透簾溪雪明。</text>
<title>春日遊巖臺 戊寅</title>,<text>寂寂巖崖花欲開。一溪春水碧於苔。穿鞋向晩隨汀柳。攜卷乘風上夕臺。程邵襟懷吟外遠。唐虞消息靜中來。逌然不覺形骸累。思入鴻濛浩莫裁。</text>
