<title>秋日。送人赴關西幕。</title>,<text>迢遞關山路。蒼茫樹色秋。河橋相送罷。擊劍有餘愁。</text>
<title>霹靂琴</title>,<text>製出軒轅後。材收霹靂餘。有時彈一曲。風擊夜牕虛。</text>
<title>客舘秋思</title>,<text>獨坐虛亭上。思歸結遠愁。池塘一夜雨。疎柳暗驚秋。</text>
<title>秋夜有懷</title>,<text>落葉生秋響。疎林帶夕風。懷人延佇久。月出廣陵東。</text>
<title>秋郊遠望</title>,<text>落日下西嶺。秋陰生遠郊。岸巾長嘯立。宿鳥自還巢。</text>
<title>秋夜偶唫</title>,<text>月色明如晝。中天星斗稀。長風吹萬里。客鴈向南飛。</text>
<title>在定遠時。送客之嘉山。</title>,<text>客向嘉陵去。嘉陵花正開。看花對酒處。亦有望鄕臺。</text>
<title>林湖呼韻</title>,<text>琴翁仙去後。千載有湖山。秀色如堪結。誅茅老此間。</text>
<title>送徐伯興之河陽</title>,<text>秋日河陽縣。霜林錦作花。君乘五馬去。忘却鬂邊華。</text>
<title>還家</title>,<text>倦客歸來暮。柴門僮僕迎。家人親自饌。厨火夜深明。</text>
<title>次李一卿韻</title>,<text>今夕一尊酒。對花如有期。語來山色老。歌月醉忘歸。</text>
<title>寄徐友致章</title>,<text>虛舘無人夜。寥寥獨客愁。何如江上雨。盡日滯歸舟。</text>
<title>借梅 姜君宰亮。謫居岺外時。人有盆梅。姜君求之。主云作詩以敵。則我當與之。姜君詩以得之。余又次其詩。仍借梅。</title>,<text>嶺梅本無主。春風隨處移。江蘺遺怨在。休說楚臣思。原韻。有客窓明月夜。頻入夢中思之句。</text>
<title>山中偶吟</title>,<text>細路緣溪入。山深人跡稀。幽禽啼不盡。林外各驚飛。</text>
<title>次南秀才白酒峰對雪韻 二首</title>,<text>君誇白酒最高峰。雪後奇形畫未同。能使子猷添一興。復兼天地醉眠中。傑句爭高萬丈峰。壯懷難與俗人同。追吟歲暮龍門賞。坐我乾坤大雪中。</text>
<title>農家卽事</title>,<text>秧稻初移粟已耕。聖朝閒作一農氓。簑衣晩帶前山雨。聊向田疇杖鍤行。</text>
<title>平丘途中作</title>,<text>山雲初折日窺紅。驛路長風馬首東。誰識此行三入岳。白鬚空鑷去來中。</text>
<title>板橋春景。次韻。</title>,<text>千尺遊絲萬丈塵。南隣雲物接西隣。東風吹送神靈雨。處處繁華滿目春。</text>
<title>送卞大老下第還飛鴻</title>,<text>荊山懷玉古今同。攜向西原暮道窮。天寶物華時有待。莫敎雙目送飛鴻。</text>
