<title>山水吟</title>,<text>寒川流不休。蒼壁峙千秋。物性自無變。吾心如此不。</text>
<title>暗夜</title>,<text>東嶺月上遲。林壑閴無響。暗室尙虛明。道心從此長。</text>
<title>中夜吟</title>,<text>微月上東峯。泠泠聞石瀨。沉痾頓蘇醒。水月與心會。</text>
<title>吟示李浩然，黃道光。</title>,<text>家貧膏火斷。請子拾流螢。勤苦如車胤。方能洞九經。</text>
<title>溪堂暮景</title>,<text>前灘晩來急。也知山日低。沙洲禽語斷。幽趣窅雲栖。</text>
<title>次淸遠亭主人韻</title>,<text>病起尋淸遠。桐花已减香。江山供暮景。飄洒引盃長。</text>
<title>悔酒</title>,<text>卯酒黃昏醒。入簷新月寒。忘憂朝又夕。却怕楚累看。</text>
<title>夜吟</title>,<text>凉夜夢頻覺。秋虫已近床。兵戈驚歲晏。憤慨血沾裳。</text>
<title>次禮安倅申 之悌 韻</title>,<text>弊屋靑山擁。柴門碧澗迴。客從玄圃過。雲傍鶴岩來。種黍腸猶足。飧霞眼更恢。芳隣須我友。何日掛冠哉。</text>
<title>奉贈鄭寒岡老兄</title>,<text>昔吾雜氷炭。慕外一何低。倚玉開心學。逢塲賴耳提。愼追敦禮義。警策濯塵泥。白首懷恩德。秋宵坐聽鷄。</text>
<title>蟋蟀吟</title>,<text>蟋蟀一微虫。偏驚久病翁。空齋八月後。寒雨五更中。啓手賢師戒。正冠君子終。吾心誠志學。至願鬼神通。</text>
<title>鄕山有感</title>,<text>午夜無眠久。孤村聽一鷄。故鄕還作客。矮屋不堪棲。親舊衰逾戀。松楸遠更悽。幽憂歲云暮。霜月自高低。</text>
<title>次李▣▣ 埈 韻。戒浩然，道光。</title>,<text>靈禽九臯上。淸唳八垓聞。鴈爲江湖取。鷦因枳棘分。湛眞看昧爽。偸懶驗黃昏。意趣知須早。詞章白首紛。</text>
<title>修溪堂外壇</title>,<text>落日休勞役。悠然坐石頭。霽川魚吸爽。暮壑鳥懷幽。皇澤均天普。胡塵際海浮。迂儒愧無用。寥落碧山陬。</text>
<title>挽李上舍 弘宇</title>,<text>一室多忠信。三容季則君。愛愉眞出性。孝友藹超群。學禮增文彩。尊賢廣見聞。江湖獨留月。佳約冷如雲。</text>
<title>高城路中有感。和杜少陵韻。</title>,<text>七載蠻氛惡。迂儒際此辰。鳴沙千里跡。驚浪一孤身。暮雀喧危棟。寒兒泣路塵。旻天應悔𥙯。廊廟豈無人。</text>
<title>夜坐述懷</title>,<text>淸夜永於晝。三更睡覺初。流漂慚損義。衰病懶看書。宗社憂危日。松楸入夢餘。君親恩未報。秋髮已蕭踈。</text>
<title>病中聞鴈</title>,<text>卧病秋堂冷。初聞一鴈歸。向南思暖候。辭北怕寒威。微鳥謀生密。孤身素願違。家山有親舊。爲報孑無依。</text>
<title>夜吟</title>,<text>遲暮飄東海。覊懷欝未開。山暄猶見雪。天霽却聞雷。遯世期無悶。旋乾歎不才。高吟松月白。蕭散謾呼杯。</text>
<title>和杜少陵韻</title>,<text>漂漂入東海。高浪一虛舟。好古思前哲。傷時忤俗流。明誠功自淺。博約老何休。曷日妖氛靜。松溪伴白𩿨。</text>
<title>幽憂</title>,<text>多病眠何穩。東溟一老身。懶鷄呼曉晩。羸馬嚙槽頻。術功靜中驗。鄕思雨邊新。寥落詩成癖。幽憂解誤人。</text>
<title>聞天將討賊</title>,<text>傳聞天將奮。近復動雷霆。熊虎傾巢穴。滄溟滌穢腥。東藩起餘燼。中夏撫生靈。神鬼應爲助。好音日佇聆。</text>
<title>季秋晦夜詠</title>,<text>三秋今夕盡。天逈鴈聲微。霜葉蕭蕭下。寒雲片片飛。干戈愁欲老。滄海渺無依。宇宙高吟裏。蒼茫誰與歸。</text>
<title>流離中監拾豆</title>,<text>細逕懸危坂。蓬蒿沒馬鞍。秋深澗碎玉。楓晩岸飄丹。學稼妨功業。憂時裂肺肝。草庵依翠巘。悵望白雲寒。</text>
<title>次梅月堂夜吟韻</title>,<text>瑤琴抱淸夜。古義自難勝。風勁林飛雪。天空月照氷。松寒貞節苦。蕙茂暗香▣。白首知音少。前脩擬作朋。</text>
<title>聞湖嶺賊悉遁</title>,<text>寰宇干戈定。東韓日月新。天應撫華夏。雲爲滌腥塵。佳氣崇南嶽。休祥拱北辰。皇恩推一視。咸仰再生仁。</text>
<title>聞倭賊夜遁</title>,<text>今夕聞南報。有烏賊戍間。我師屯釜浦。天將入甑山。中外無男子。凶獰得保還。終當雪讎恥。廊廟莫偸閑。</text>
<title>病劇述懷贈曺芝山</title>,<text>霽空放素月。林外半輪明。山氣霜逾重。溪聲夜轉淸。存心能自定。原始豈曾驚。未逮堯夫境。安恬得本情。</text>
<title>月夜偶吟</title>,<text>霽空雲欲捲。秋月上東峯。水送傷時恨。山餘太古容。曾思輕楚富。鄭衛視周鏞。泄泄誰能改。漣洳向九重。</text>
<title>奉金同福 富倫 表從舅</title>,<text>秋風入庭樹。東海客心孤。遙想高堂凈。微凉病體蘇。神淸詩更爽。稻熟釀仍醹。掃墓應歸謁。琴歌解欝紆。</text>
<title>偶吟</title>,<text>朋▣欝如林。臣隣孰協心。異同生好惡。揚抑便升沉。玉石焚難辨。邦家病轉深。涓埃無路報。空有涕沾襟。</text>
<title>除夜有感</title>,<text>人間空剩住。五十五儺聞。子史滄溟渺。經書白首紛。眞心明似日。閑念動如雲。衰暮須精進。前程到十分。</text>
<title>忘機吟</title>,<text>晩諳山水趣。白日掩柴扉。湛寂無塵雜。幽深絶是非。風雲如會意。𩿨𪆽自忘機。安得邊陲靜。殘年願莫違。</text>
<title>次杜少陵螢火韻 二首</title>,<text>此物猶知節。初秋夜自飛。孤臣驚歲晏。征婦促寒衣。過榻憐形眇。臨書恨火微。禀陰仍草化。日出爾何歸。又造化生群品。冷然白日飛。如何乘暗夜。空自坐幽衣。點火能爲貴。騷人詠爾微。客中看九度。愁寂苦思歸。</text>
<title>雲端露月</title>,<text>霽天孤月出。初脫黝雲屯。放彩乾坤朗。埋光寰宇昏。物來雖有蔽。玉潔更無痕。本體方呈露。驗吾德性存。</text>
<title>山中偶吟</title>,<text>溪郊時雨過。山氣政英豪。種秫生涯足。移梅韻格高。雲收爭露翠。潭靜不生濤。夷曠無閑慮。浮榮若一毫。</text>
<title>竹塲詠懷</title>,<text>老槐臨小澗。濯熱坐淸陰。落照沉西嶺。歸禽度遠林。地隔南山近。天高漢水深。感時頭更白。東海獨悲吟。</text>
<title>大遯山邀鶴樓。次金鶴峯韻。</title>,<text>芙蓉千朶聳。寒玉萬條流。絶壁專奇壯。窮林儘邃幽。高風餘勝迹。遐想獨悲樓。宇宙如過鳥。令名有幾留。</text>
<title>雲祟霽月</title>,<text>霽月出東岑。銀鉤掛翠林。光寒三畒宅。淸透百原襟。萬象方臨照。繁雲忽翳陰。誰知外蔽物。能使本眞沉。</text>
<title>贈人</title>,<text>爲愛松巖老。超然學古文。三江涵素月。萬壑吐奇雲。白首寧▣志。靑袍不願聞。詞壇須畢業。餘事謾紛紛。</text>
<title>山中訪張旅軒</title>,<text>欲尋張隱逸。趣駕渡前溪。細逕蓬齊馬。芳郊柳蔭堤。壑幽蟬響遠。林晩鳥聲低。誤過相期處。沉吟蘭玉題。</text>
<title>贈張旅軒</title>,<text>白駒難久縶。秋水送君歸。離恨深東海。征鞍入夕霏。暑蒸應損氣。陰濕恐霑衣。寘欲隨時義。含章貴識機。</text>
<title>椒井夜吟</title>,<text>雙鬢愁催老。三年病轉深。雲林藏拙迹。玉井濯煩襟。曾洒哀鵑淚。空添蹈海心。荒村滯秋夜。不寐獨悲吟。</text>
<title>病檜歎</title>,<text>遯山有穉檜。其高六五尺。性與霜雪寒。心苦安瘦石。幽人愛其節。移栽近窓壁。雲師不會意。一何屯膏澤。踈枝欲黃隕。憔悴失舊碧。幽操宜白雲。莫若任自適。飜思聖手植。韻趣高一格。安得挺百丈。歲寒期無斁。</text>
<title>讀虞書有感</title>,<text>齋居湛虛靜。詠歌唐虞天。放勛明峻德。安安萬善全。族睦民日童。煕皡入陶甄。治馨格上下。輝光浩無邊。聖神莫可測。蕩蕩惟體乾。師錫得虞鰥。觀內將胥遷。揖讓巽帝位。執中心法傳。重華克協帝。溫恭而塞淵。聦明徹八垓。四門萃群賢。端拱百揆叙。沛然决大川。陳謨禹臯陶。稷契德日宣。伯夷諧三禮。夔龍殫恪處。德盛不自滿。治隆尙歉焉。君臣各責難。深警恐有偏。夙夜協寅畏。安止期罔愆。臣隣沕無間。帝歌臯且聯。至和感天和。卿雲光更鮮。蕭韶奏九成。鳳凰來蹁躚。怳然忘身世。稽首土階前。目接垂衣裳。良佐相後先。翻思却自失。去古歲幾千。吾性卽堯舜。今古豈相懸。倘遇哲王起。敢辭爲執鞭。白首値干戈。悲憤淚逬泉。紉蘭在空谷。深林拜杜鵑。無人同此懷。仰眺天蒼然。</text>
<title>洛江泛舟分韻 萬頃蒼浪欲暮天。得暮字奉寒岡老兄。</title>,<text>勝會偶然成。又復之子遇。淸談徹襟懷。扁舟任沿泝。輕陰動凉飇。莫愁江日暮。平生何事最爲多。今日船遊亦可歌。邂逅良朋因共醉。斜陽倒影照平波。右寒岡江湖何幸奉諸賢。斫玉傾霞興不俗。充然有得又何求。明日留菴是所欲。右松庵隔𤄃良朋已半年。淸江邂逅思無邊。中流扣枻陶陶醉。不覺烟波物外天。右六一烟艇泛淸波。良朋來自遠。誰知今日遊。曾不意千萬。右玉山荷花朝共看。暮泛金山境。高會揔群賢。片帆凌萬頃。右晴暉勝會欣來赴。扁舟萬頃滄。斜陽無限意。回首更微茫。右洛濱</text>
<title>松齋書懷</title>,<text>晩暮專心學孔顔。一毫名利不相關。空將堯舜君民志。風雨乾坤卧碧山。</text>
<title>夜坐</title>,<text>月透南窓一室明。靈臺贏得本初淸。方知體用同源妙。太極無中萬化生。</text>
<title>喜聞灘響</title>,<text>涸盡川源五朔餘。今宵高枕聽灘初。一心査滓都消盡。本體光明驗靜虛。</text>
<title>自警</title>,<text>五十無聞愧聖言。偏心陋習尙留根。如何斷絶無纖芥。精白要窺孔孟門。</text>
<title>伯玉知非</title>,<text>伯玉能知四十非。行藏有道竟無違。德周邪世何能亂。心眼高明旬識機。</text>
<title>讀朱子書</title>,<text>淸晨盥手讀朱書。處患要須自卷舒。硬着脊梁方不挫。怳然親聽誘諄餘。</text>
<title>讀論語</title>,<text>潛思精義闡微言。怳若摳衣入孔門。査滓消融天理得。霽空雲盡月無痕。</text>
<title>奉趙月川 穆 五絶</title>,<text>川上長松松裏棲。閑中江月自高低。發揮陶隱賢師訓。始啓三韓萬古迷。寂寞陶山月色凉。瑤琴遺韻一何長。師門白首心猶切。永念儀形獨自傷。室如懸磬獨超然。有德自膺龜鶴年。白日衡門掩松裡。卧看蒼翠出雲烟。搖搖秋髮尙倥倥。山仰眞城晩隱風。病渴三年終有喜。天公那忍限愚蒙。寥落山齋獨掩扉。柳絲垂地磵花飛。一壺聊寄相思意。春盡晴江鴈欲稀。</text>
<title>勉李浩然</title>,<text>君資易直且純眞。十載同居不厭貧。只恨時文壞美質。須分賓主學明倫。</text>
