<title>讀書偶吟</title>,<text>白山高萬丈。其下錯奇玄。採採未盈掬。於焉五十年。</text>
<title>偶吟</title>,<text>雲捲千山霽。月空萬壑淸。一年今夜最。讀易細生聲。</text>
<title>江臨臺</title>,<text>峭壁臨江立。風恬翠欲流。不知山日暮。歇馬上蘆洲。</text>
<title>登太白峰</title>,<text>太白半天高。冷風脚力豪。平看千里遠。滄海小如舠。</text>
<title>贈李君弼</title>,<text>白首逢君晩。寒山一片石。陽春爲我歌。淸澈動人魄。</text>
<title>同𨪌子赴外舅東園金公 羲壽 襄事有感 戊申○三首</title>,<text>臨流積善峯。大葬東園翁。墓左生蒭束。古人獲我同。春風燕坐處。無復覩氷淸。空有腹中藁。子雲會待評。問花隨柳地。蒼翠泗水春。小子今頭白。沂童恨不親。泗濱院在里許。公往來遊賞。盖到老不替云。</text>
<title>壁磵 在▼(利/示)花北懸崖而下</title>,<text>兩壁齊頭處。山徑細如紗。仰看天宇小。俯瞰地界斜。中有飛來瀑。急湍任喧譁。巡梯奏琶瑟。落坎噴虹霞。怡然裏許立。塵心更不芽。掬水挹淸液。漱口拂腥牙。平生愛幽獨。今日分外奢。巖古熊羆窟。洞深松櫪楂。不有勤苦得。那知此境佳。興盡且前去。太峴次第呀。</text>
<title>春日</title>,<text>封門暖始開。臘破歲行春。古木懷新意。靑山返舊神。氷消燕欲候。風軟柳求伸。認得一元理。昭蘇獨不貧。</text>
<title>夏日卽事</title>,<text>步步東岡上。窮源芍藥蹊。牛蚕理氣邃。糠莝事功低。雲木皆家計。江湖好自棲。懷哉千載意。有孰挾琴携。</text>
<title>秋日入楓厓</title>,<text>行行入洞裏。委轡渡頭停。碧嶺沉江底。頳楓換壁形。玲瓏石盡寶。怳惚草能靈。歸馬向人報。暮烟隔岸靑。</text>
<title>贈或人</title>,<text>南來紫氣老。邂逅法溪陽。象數天人邃。風騷河漢長。灞驢方屬累。荊璧自含章。擬結歲寒契。何渠此別忙。</text>
<title>精舍卽事</title>,<text>燕坐春深百卉中。和風拂拂撲晴空。桃紅李白繁華幾。最愛全晴柳色葱。</text>
<title>觀書吟</title>,<text>晴牕曉起寶書森。涵出惺惺萬古心。大地芬華軒外過。一天光影卷中尋。</text>
<title>次書堂諸益韻</title>,<text>秋來空歎白紛如。十載無端雅意疎。征邁好將今日始。爽風一陣拂床書。</text>
<title>松</title>,<text>枕書酌史絶膏粉。中有一人號柳隱。庭前何事樹▼(缶+委)松。卓立徂徠襟韻近。</text>
<title>題梧桐</title>,<text>不信龍門獨有桐。瑤琴絃絶更誰工。千秋留照庭心月。夜夜一般意味同。</text>
<title>柳溪八詠</title>,<text>東嶺朝雲天晴皓皓氣先東。一抹如烟上碧空。變態須臾橫半掩。尖峯還入欝蒼中。西岑夕照滋蘭茠草逐番耘。起視蒼凉到夕曛。餘暈猶含明日意。紫堆天末彩成雲。巖臺乘風冠五童三次第俱。前程奇觀倩筇扶。神淸乍倚風生面。胷次何如詠舞雩。松壇避暑陰陰老樹翠濤成。躶體層氷脚下生。病暍十年今始恔。火雲何處序三庚。前郊牧笛花柳前川一望平。遊絲白日影中橫。童覊若解金華牧。牛背駄來鳳吹聲。後隴樵歌三韓謠俗屬山家。耕鑿自來答歲華。春到景明花木秀。淸平一曲作樵歌。稻畦觀稼平滿石苔蕪葑田。通渠日闢注涓涓。穗如馬尾無長耳。力穡從知辦有年。柳浦釣魚細雨初過柳拂陂。擣藍水色綠生漪。天心物物皆魚類。取摘長竿適意垂。</text>
<title>復用西岑韻</title>,<text>聖世優容沮溺耘。洞門不出送西曛。野情猶戀傾葵切。盡入夕天一朶雲。</text>
<title>大明紅</title>,<text>王孫寃恨去無返。一朶留傳永曆寃。若使此花能解語。幾人天地靦顔存。</text>
<title>過忠烈祠</title>,<text>堂堂六尺恨生晩。虛老琴書四十年。忍說江都當日事。無端熱血激龍泉。</text>
<title>追賀蘿谷從叔父壽席 周甲在己酉除夕</title>,<text>特地蘿山聽遠韻。琴書家計舊風傳。靑蒿自爾倚松栢。願上諸父不盡年。</text>
<title>答晉五書。復用餘意寄二絶。在金溝時</title>,<text>人物錦南作惠州。鼎來器業劈初頭。儹今脊骨堅如石。解使高名廣魯鄒。夜半天心漢室宣。終南山色翠芊眠。平生砥礪仗忠信。刹刹麈塵攄廈氈。</text>
<title>奉別尹上舍 耆鎭 歸石城 幷序</title>,<text>窮鄕晩出。自在總髮。聞尼城卽吾祖先師之闕里。思欲贏糧一趍而歸者。寢嚥以之。而地距逈絶。竊嘗恨仰。屬者上舍尹公 耆鎭 自魯中卜居于太白栢川洞。喜其聲光日以甚邇。旣而自栢川移寓弊居山亭。又何其奇也。公春秋八十。氣貌偉然。醇德奧行。飮人以和。愚陋無狀。猥荷顧眄。叩其淵源之正。學術之美。得以少償夙昔景仰之懷。而自許此生天與其便。使咫聞尺見不全終迷於太山嵌巖之下。無何奉別。依舊落落。頃於𨪌子之回。追承其一句惜別。尤令人刻在心髓。敢以寂寥短律。聊塞慕望深衷之一二。而若其六十年爲吾西林之感則沒身無窮云。己未巖巖尼峀碧穹窿。坡魯的傳萃魯東。白髮此生桐子命。願言無路浴沂童。金聲玉色閱幾年。賴有酉峯月長圓。天地卽今堯舜在。如何百六感徒牽。懷哉吾祖依歸意。留與子孫一脉嗣。遺馥斑斑印屐迹。苔蘚蕪沒詎無愧。虹橋消息杳無聲。每抱遺書愴慕幷。一闋高山歌詠罷。百年空負瓣香誠。儒仙來自大賢村。氣脉淳淳道義存。太白山南桂樹地。好將淸艶宅成門。龎床得拜劈孤蒙。綠髮紺瞳八十翁。布幰柴車淡泊味。古貌古心愜高風。淵源叩得丈人眞。菲質擬將淑此身。朱藍豈徒染素絲。歲寒心契石無磷。華山請半古來名。小築經綸次第評。南陌東阡呼叫處。朱陳故事永堅盟。人間聚散劇弦忙。天象昭森德宿行。來若瞿曇去若鳳。山門不扃有餘光。峨峨湖嶺自難攀。賤子璊珊晝閴關。收拾淸香硯北地。翛然遺馥對眞顔。千秋必返古之常。我思先生永不忘。尊聞行知八字打。沒身鑽仰憂無疆。</text>
<title>幽居</title>,<text>牢關默對靜中天。基業百年古法川。傲雪蒼松圍屋後。穿雲紅旭到窓前。千篇書檢精神發。一圈圖披旨義圓。努力前期寧慕外。巷深猶許索公錢。</text>
<title>謾詠</title>,<text>扶輿元氣劈空濛。散列南州七十雄。太白山高支日月。洛東江大產魚龍。村深地接滄溟界。俗厚人存泰古風。萬樹濃陰叢桂密。天敎閑漢老其中。</text>
<title>山村卽事</title>,<text>鳥嚶呼伴陟山居。萬疊春深活畫如。樹老先天人事少。日長華胥世情疎。尋花消息前宵雨。擲耟生涯古架書。造化奇功無計答。頭童數髮趁朝梳。</text>
<title>行後園</title>,<text>荊扉石塌面陽佳。朝暮雲烟分外奢。特地韶華混異草。滿天芬馥揔名花。三時豐菜蘭而朮。五夜槧鉛蓬與麻。物物皆輸這裏熟。從來吾道是恒茶。</text>
<title>示兒孫</title>,<text>蒙養不端此道蕪。幾人實地踐名儒。衣簪外假牛童子。經訓中無樵牧夫。千聖昭昭星與日。百年耿耿圈而圖。自慚白首成何得。七尺空孤誦孟朱。</text>
<title>次洪致澤 天根 幽居韻</title>,<text>黃庭誤讀記前身。下界淸緣獨不貧。江練山屛管地勢。雲心月性自天根。詩中有畫▼(革+罔)川子。巖上耕犂谷口人。樂意相關禽對語。歲寒心事自家春。</text>
<title>梨花洞</title>,<text>十年搔首坐勞神。物外前緣此日伸。地闢靈區粧活畫。天敎閑漢宅仙眞。一身永與鄰魚鹿。萬事肯爲辨玉珉。千載擬和雲谷詠。滿林花鳥一般春。</text>
<title>太峴村</title>,<text>聞說山人別有天。穿雲梯石快登顚。地因瀑倒浮空半。日委山開向暖全。厖吠始知村落近。水隨忽到浣紗邊。汀婆不語提甕入。意恐斯翁出世傳。</text>
<title>古意</title>,<text>默契天地間。至虛受至明。有月長麗上。明明誰與雙。所以廣寒殿。千載空崔嵬。一氣流孔神。龍門又百尺。日長鳳凰枝。爨之生商角。造化不能閟。物物各付物。高韻壓凡木。精光徹幽妙。挹彼而注玆。梧月兩相照。團團萬川下。晶晶金井上。昭昭意無央。萬象皆遁驚。勖哉吾人學。立心要如此。輸之爲肺腑。萬古底氣象。</text>
<title>挽族曾祖石溪公 浹○甲午</title>,<text>南國衣冠藪。壁立見斯翁。孝友全天畀。文章積簣功。家貧藜藿憲。門閉太玄雄。八十能仙解。竦身御冷風。</text>
<title>挽外舅願是李公 用中○乙未</title>,<text>天地衣冠窄。江山歲月逋。欲知無限慟。疎雨白鷗呼。</text>
<title>挽趙記注弼汝 彦國○丁酉</title>,<text>矗矗玉樓帝降招。嵬冠捧筆上淸府。塵編獨抱無人劘。天地漫漫老一蠹。</text>
<title>挽東園金公 戊申○七首</title>,<text>在昔瞿曇出。人瞻若鳳凰。化翁猜着世。謳唫下巫陽。平生洗硯池。誰立右軍亭。何處靑山石。千秋不朽名。先生今上穹。天嶺風蕭蕭。獨有委禽客。素圭泣鑽雕。舜曾千載後。篤孝董生賢。知應川前水。淮流共比連。衣冠百六慟。雲谷古廬空。天地無情甚。以來不獨公。孝友立心淳古則。詩書浹髓見新功。百年天地幾人在。無愧先生入土中。錯報何人海鶴去。千年會有一歸辰。前川收拾精神在。秋月寒氷凜後身。</text>
<title>挽權晶山 載大○己未</title>,<text>儒賢忠直萃公門。一脉蟬聯又聞孫。身歷五朝人莫纇。齒兼三達世歸尊。昭容不上塵氛染。道氣自因學力敦。零落邱山冠帶慟。百年草草撤屛垣。迢遆雲天貢皁囊。堂堂大節耀前光。熊魚舍命心如日。金石貫誠氣挾霜。千歲有辭留後世。九原無愧謁先王。丈夫闔棺事惟定。一部名山良史藏。</text>
<title>挽李逸庵 致迪○代再從弟作</title>,<text>在昔甲申春。王考刱同由。末路天械謝。古道地業優。公惟一氣合。後先爰卜鄰。鷄豚結社友。山水知音人。永堅歲寒契。亦粤先子氏。名檢荷砥礪。文字視糠粃。賤子三尺命。于時學功令。燕笑腐芥拾。富有武庫並。偏蒙故人子。深銘大父行。一脉林下運。謂言保霜霰。安分無心競。談經劇芻豢。此樂何草草。東西各睽離。寂寞文藻撤。備經滄桑奇。寒谷送春噓。顚木有蘗㽕。淵源弁髦久。名韁浪迹浮。險道誠難盡。吾儒儘寬平。一枕黃粱夢。千古谷口聲。鄕黨吾誰仰。賴有丈人尊。淸夷本色得。苦寒學力存。平生緣五鬼。白首誇龍鍾。願言日夕踵。披豁祛迷胷。仙驂苦不待。無端百年忙。耆碩風流散。囊箱素計荒。才否一區死。終古最我傷。人物崩山比。衣冠逝水茫。珍重三世好。感念結中腸。輤車經由處。依然舊轎亭。只有一束芻。亂山佛頭靑。</text>
