<title>孫家庄 甲戌</title>,<text>雨後出東城。晴莎十里路。蒼蒼孫氏庄。隔樹多鳴鳥。</text>
<title>和諸益廣陵韻</title>,<text>西塘悵回首。城郭淡雲浮。歎我塵中在。多君物外遊。寒鐘孤寺夕。疎雨廣陵秋。何以慰幽獨。楓林暎石樓。</text>
<title>文殊寺</title>,<text>蕭寺淸遊薄暮尋。忽看初月上東林。寒山木落秋容凈。古窟苔生佛座深。靜誦香燈僧獨在。不眠遙夜客同吟。松窻石榻無塵事。短榼新醪細細斟。</text>
<title>山映樓</title>,<text>西風倦策晩來休。水石蒼凉一澗頭。不盡黃花連遠寺。無邊紅葉入虗樓。鐘聲逈報齋僧夕。雨色寒飛海鴈秋。勝地如今難可負。更將詩句賦淸遊。</text>
<title>太古寺</title>,<text>洞府深深石逕廻。三峰秀色政崔嵬。秋空月冷征鴻夜。古寺鐘高禮佛臺。憑檻却看楓樹晩。移尊相對菊花開。襟期自此多蕭散。一宿禪房意未裁。</text>
<title>槽巖 乙亥</title>,<text>輕筇步步出塵寰。路指晴沙十里間。柳氣不分烟際岸。花心先暖雨餘山。層城落照長橋逈。別浦春雲短棹閒。醉後長歌矯首立。一林啼鳥盡飛還。</text>
<title>雨後小集。用巷東韻。</title>,<text>圖書景物勝江亭。澗道依依入小庭。山帶午雲陰復白。草經朝雨潤還靑。盈樽濁酒宜深酌。傍樹幽禽慣獨聽。昨送故人東峽去。寒松叢石幾時停。</text>
<title>春江詞 二首</title>,<text>長洲雨歇草萋萋。人在朱樓日未低。遊女折花歌一曲。商船移泊大江西。龍湖春浪碧於苔。兩岸煙晴山杏開。前浦喧喧人語出。靑魚船逐晩潮來。</text>
<title>秋日</title>,<text>淸霜昨夜重。砧杵亂鳴秋。浩蕩尋詩興。蕭騷覽物愁。水聲寒抱石。山色淡生樓。籬底有黃菊。摘來宜揷頭。</text>
<title>秋夕東郊有作</title>,<text>出門山月在。晨露冷沾衣。流水蓬蒿逕。幾年人事非。</text>
<title>輔國寺</title>,<text>寺門空翠重。山色已深秋。磬落諸天靜。雲生一壑幽。淸泉僧洗衲。紅樹客登樓。望極東臺上。蒼然昔日遊。</text>
<title>送外堂叔之錦營 丙子</title>,<text>燈下別懷共一床。疎星殘月政蒼茫。春天立馬遲遲語。他日相思路更長。</text>
<title>春日次唐人韻</title>,<text>一園暝色鳥深棲。無數晴峰繞屋西。尙憶白門騎馬路。落花芳草散輕蹄。</text>
<title>古意</title>,<text>淡淡長江水。滔滔去幾年。平沙人不見。雲木共凄然。</text>
<title>巴陵曉行</title>,<text>野樹蒼蒼月落。江天漠漠潮生。巴陵客舍何處。岸火雲間獨明。</text>
<title>與諸益次唐人韻</title>,<text>床書看有味。足以散餘憂。柳港春風暖。花臺午日流。簾承山翠潤。簷送鳥鳴幽。知是初年計。田園百畒丘。</text>
<title>送客楊州</title>,<text>煙晴草暗燕新還。春望悠悠道路間。送子維揚寒食後。東風花發馬前山。</text>
<title>謾吟</title>,<text>山棠落盡海棠開。中夏庭臺映綠苔。晩計田園徒遠夢。曾遊詩社秪空杯。流鶯乍聽微風轉。叢菊新移細雨來。可惜十年成底事。床書稍梢意悠哉。</text>
<title>擬古</title>,<text>春江日日望。江水渺何之。江上桃花發。儂心惜別離。</text>
<title>北原晩眺</title>,<text>坐聞流水意俱長。雲物晴餘尙渺茫。游女浣紗初薄暮。將軍洗馬又新凉。重城遠抱高江白。森木深盤老石蒼。詩律至今難可廢。任他身外事奔忙。</text>
<title>秋夜登挹淸樓 二首</title>,<text>百尺危欄枕小坡。天高雲盡望無何。沙頭遠火靑楓暗。浪際寒聲白鴈多。舟子待潮晨欲發。田翁灌畒夜相過。悠悠更憶年前事。一幅淸詩繼以歌。漏永官樓夜。秋天映短袍。舟燈人語細。江月鴈聲高。潮帶寒沙落。風幷亂葉號。今來兼信宿。詩事屬吾曹。</text>
<title>芳谷歲暮。與外堂叔共賦。九首</title>,<text>床書堆積坐相侵。披閱悠悠道意深。明月秪應當五夜。靑山那可易雙金。多鳴竹葉風何阨。浪泄梅花雪不禁。時已仲冬天氣肅。寒泉咽咽送淸音。寥寥谷口閉疎扃。村客來時出數星。短竹風前聲不定。寒泉氷下勢無停。已能酬節題新句。且復寬心閱古經。最愛闌干通秀色。終南如畫繞軒屛。凉夜迢迢氣色淸。長天如水遠河橫。新詩每看高山得。小屋仍營僻地成。誰是鹿門存宿計。我今鷗渚久寒盟。塵世喧紛何足道。安閒端不易虗名。團會頻頻繼夜長。煩襟從此也相忘。淸談却與成三宿。佳句仍同賦數章。村遠微煙生夕郭。庭空幽鳥度寒塘。自憐明月能無寐。復有松聲喧滿堂。仰視遙空數墮冠。一園岑寂曉河殘。疎燈隔屋杵鳴遠。瘦栢當簷雪意寒。窮似韓公難送鬼。貧從陶老欲休官。終來靜處方知樂。歧路紛紛更百端。名節殘年次第催。閒愁滚滚不禁廻。溪含瑩澈層氷合。山帶蕭條暮雪堆。籬短疎燈遙岸屋。巢深閒鵲半庭槐。西林望極無人見。簷角蒼然夜色來。南谷尋常每共携。蓬廬淡卧已深棲。黃昏繫馬星初動。中夜題詩月未低。瘦影古梅纔度臘。寒聲喬木近臨溪。淸遊却憶蓮燈宿。太古寺中露積西。天機政是歲殘時。對卷頻驚節序移。寒暖獨憐松不改。坐行惟喜月相隨。漸分人語來遙市。恒入山光有短籬。倘若出城塵事少。卜居何必峽中期。人歸緩緩隱村狵。不盡氷泉繞遠矼。煙氣稍生鳴杵屋。燈花半落讀書牕。雲樓曉色星三四。松塢寒聲鶴一雙。何處尙孤遊覽約。虗舟今繫廣陵江。</text>
<title>月 丁丑</title>,<text>廣漢秋登早。氷輪桂葉淸。魚龍透不睡。星宿耿還生。入隙容光細。懸空散影明。謾添征婦恨。休照交河營。</text>
<title>梅</title>,<text>臘前何脉脉。春後竟飛飛。放萼氷先拆。尋香蝶更稀。橫枝憐傍案。淸影喜生衣。結子東風裏。辛酸日漸肥。</text>
<title>古木</title>,<text>兀兀孤査立。長年意頗空。影分山斷處。聲和澗鳴中。不識催花雨。非關落葉風。餘根尙逬地。終擬有榮通。</text>
<title>又賦</title>,<text>已矣崢嶸廓落顔。年深歲久守空山。無逢剪伐材難用。不怕風霜骨亦頑。寒鵲每隣高處宿。暮雲時補缺邊還。自敎藤蘚成花葉。終是春心一視間。</text>
<title>喜全而善 致慶 來次唐人韻</title>,<text>今歲酒觴未更飛。行人况復廣陵歸。溪含獨樹聲全逈。石抱幽松勢共依。一二流鴉翻郭雪。後先啼鳥下庭暉。秪憐世道多疎濶。詩事從來太半非。</text>
